DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,1,578,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,2,577,CLASSECM1
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,3,577,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,4,578,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,1,454,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,2,404,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,1,575,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,2,578,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,3,577,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,4,578,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,5,571,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,6,242,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GAYA 2,1,540,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE GAYA 2,2,543,CLASSE CM1
DAGANA,RICHARD TOLL,ECOLE GAYA 2,3,496,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GAYA 2,4,326,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE KHOUMA,1,429,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,2,429,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,3,429,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,4,429,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,5,427,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,1,560,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,2,560,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,3,561,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,1,599,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,2,600,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,3,600,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,4,599,CLASSE CE2
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,5,600,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,6,599,FOYER DES JEUNES KHOUMA
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,7,600,FOYER DES JEUNES KHOUMA
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,1,588,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,2,582,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,3,586,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,4,585,CLASSE CE2A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,5,570,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,6,134,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIAO,1,552,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDIAO,2,552,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE NDIAO,3,563,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE NDIAO,4,543,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIAO,5,363,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,1,361,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,2,363,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,1,571,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,2,571,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,3,570,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,4,571,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,5,571,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,6,568,CLASSE CE1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,7,570,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,8,571,CLASSE CP
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,9,570,CLASSE CIA
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,1,562,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,2,560,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,3,562,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,4,562,CLASSE CE2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,5,540,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,6,542,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,7,526,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,8,389,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,1,526,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,2,526,CLASSE CM1
