DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,RONKH,BOUNTOU BACK,1,172,CLASSE CI
DAGANA,RONKH,COLONNA DIT BALKI,1,265,CLASSE CI
DAGANA,RONKH,COLONNA DIT BALKI,2,264,CLASSE CP 2
DAGANA,RONKH,DIAWAR,1,492,CLASSE CE 2
DAGANA,RONKH,DIAWAR,2,491,CLASSE CM 1
DAGANA,RONKH,DIAWAR,3,491,CLASSE CM2 A
DAGANA,RONKH,KASSACK NORD,1,498,CLASSE CI
DAGANA,RONKH,KASSACK NORD,2,498,SALLE DE CLASSE
DAGANA,RONKH,KASSACK SUD,1,467,CLASSE CI
DAGANA,RONKH,KHEUNE,1,578,CLASSE CP 2
DAGANA,RONKH,KHOR,1,418,CLASSE CP 2
DAGANA,RONKH,LOUGUEDEMISS,1,183,SALLE DE CLASSE
DAGANA,RONKH,MBOUNDOUM EST,1,295,CLASSE CI
DAGANA,RONKH,NADIEL,1,493,CLASSE CI
DAGANA,RONKH,NDIETENE,1,590,CLASSE CE 2
DAGANA,RONKH,NDIETENE,2,590,CLASSE CI
DAGANA,RONKH,OUROURBE NDAYTI 1,1,384,CLASSE CI
DAGANA,RONKH,OUROURBE NDAYTI 3,1,265,CLASSE CP 2
DAGANA,RONKH,PAKH,1,530,CLASSE CE 1
DAGANA,RONKH,RONKH,1,553,CLASSE CM 1
DAGANA,RONKH,RONKH,2,543,CLASSE CI A
DAGANA,RONKH,RONKH,3,555,CLASSE CE 2
DAGANA,RONKH,RONKH,4,562,CLASSE CM 1A
DAGANA,RONKH,RONKH,5,457,SALLE DE CLASSE
DAGANA,RONKH,THIAGAR,1,462,CLASSE CI
DAGANA,RONKH,THIAGAR,2,462,CLASSE CE 1
DAGANA,RONKH,WASSOUL,1,573,CLASSE CP 2
