DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,ROSSO SENEGAL,CROISEMENT,1,166,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,1,567,CLASSE CM 2
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,2,576,CLASSE CM 1
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,3,576,CLASSE CE 2
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,4,572,CLASSE CI
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,5,568,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 1,6,368,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,1,567,CLASSE CM2
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,2,567,CLASSE CM 1
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,3,563,CLASSE CE 2
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,4,563,CLASSE CI
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,5,558,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 2,6,350,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 3,1,486,CLASSE CM 2
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 3,2,486,CLASSE CM 1
DAGANA,ROSSO SENEGAL,ECOLE ROSSO 3,3,484,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,MBAGAM,1,547,CLASSE CM 1
DAGANA,ROSSO SENEGAL,MBAGAM,2,547,CLASSE CE 1
DAGANA,ROSSO SENEGAL,MBAGAM,3,548,SALLE DE CLASSE
DAGANA,ROSSO SENEGAL,NDIANDIOU,1,118,SALLE DE CLASSE
