DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,BOKE DIALLOUBE,BAROBE,1,520,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BAROBE,2,521,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BELEL THIEDO,1,173,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BIBE - WINDI THILY,1,509,CLASSE DE CLASSE CI
PODOR,BOKE DIALLOUBE,BOBOREL,1,411,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,1,550,LYCEE 6A
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,2,549,LYCEE 6B
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,3,545,LYCEE 5A
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,4,549,LYCEE 5B
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,5,546,LYCEE 4
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,6,537,LYCEE 2NDE L
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,7,546,LYCEE 1ERE S
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,8,388,TERMINALE L
PODOR,BOKE DIALLOUBE,BOKE DIEGUESS,1,300,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,BOKE FAFABE FAYEMBE,1,362,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BOKE FAFABE MARIABE,1,294,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BOKE MBAYBE,1,304,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,BOKE MBAYBE,2,304,SALLE DE CLASSE CM1
PODOR,BOKE DIALLOUBE,BOKE NAMARI,1,336,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,BOKE SALSALBE,1,533,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,DIARANGUEL,1,596,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,DIONGUI,1,386,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,DIONGUI,2,388,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,FERLO THIKITE,1,561,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,GADIOBE,1,252,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,GAYE KADAR DIALLOUBE,1,569,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,GAYE KADAR DIALLOUBE,2,94,SALLE DE CLASSE CM 1
PODOR,BOKE DIALLOUBE,GAYE KADAR IRLABE,1,499,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,GUELONGAL,1,411,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,HOUGA GUIRWASS,1,245,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,KARAVOYNDOU,1,444,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,KARAVOYNDOU,2,445,CLASSE CE2
PODOR,BOKE DIALLOUBE,KOURBOL,1,133,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,LAIKY,1,510,CLASSE CE1
PODOR,BOKE DIALLOUBE,LOUGRE MBABA,1,273,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,NDIAYENE PEULH,1,504,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,NDIAYENE PEULH,2,317,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,NGOUYE,1,555,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,NGOUYE,2,163,CLASSE CP
PODOR,BOKE DIALLOUBE,OUALLAH,1,526,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,SALDE,1,526,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,SALDE,2,526,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,SALDE,3,526,CLASSE CE2
PODOR,BOKE DIALLOUBE,THIALAMBOL,1,244,CLASSE CE2
PODOR,BOKE DIALLOUBE,THIELBI,1,182,CLASSE CP
PODOR,BOKE DIALLOUBE,THIKITE,1,479,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,THIKITE,2,478,SALLE DE CLASSE CM1
PODOR,BOKE DIALLOUBE,VASSATAKE,1,360,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,VASSATAKE,2,358,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,VASSATAKE,3,356,SALLE DE CLASSE CM 2
PODOR,BOKE DIALLOUBE,YAVALDE DIALLOUBE,1,401,SALLE DE CLASSE
PODOR,BOKE DIALLOUBE,YAVALDE IRLABE,1,563,SALLE DE CLASSE
