DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,FANAYE,BAKARNABE,1,584,ABRI PROVISOIRE
PODOR,FANAYE,BELEL BOGAL,1,514,CLASSE CE2
PODOR,FANAYE,BELEL BOGAL,2,514,CLASSE CMI ECOLE
PODOR,FANAYE,DARA SALAM,1,491,CLASSE CI
PODOR,FANAYE,DIAGNOUM DIAOBE,1,398,CLASSE CE1
PODOR,FANAYE,DIAGNOUM DIAOBE,2,396,CLASSE CM1
PODOR,FANAYE,DIALMATHE,1,586,CLASSE CM2
PODOR,FANAYE,DIALMATHE,2,587,CLASSE CI
PODOR,FANAYE,DIALMATHE,3,586,CLASSE CE1
PODOR,FANAYE,DIALMATHE,4,586,CLASSE CP B
PODOR,FANAYE,DIMAT WALO,1,440,CLASSE CE1
PODOR,FANAYE,FANAYE,1,560,CLASSE CM2A
PODOR,FANAYE,FANAYE,2,568,CLASSE CM1B
PODOR,FANAYE,FANAYE,3,551,CM1A
PODOR,FANAYE,FANAYE,4,567,CLASSE CE1B
PODOR,FANAYE,FANAYE,5,570,CLASSE CE2B
PODOR,FANAYE,FANAYE,6,561,CLASSE CE2A
PODOR,FANAYE,FANAYE,7,560,CEM FANAYE
PODOR,FANAYE,FANAYE,8,555,CEM FANAYE
PODOR,FANAYE,FANAYE,9,553,CEM FANAYE
PODOR,FANAYE,FANAYE,10,549,CEM FANAYE
PODOR,FANAYE,FANAYE,11,550,CEM FANAYE
PODOR,FANAYE,FANAYE WALO,1,429,CLASSE CM1
PODOR,FANAYE,FANAYE WALO,2,322,CLASSE CM2 A
PODOR,FANAYE,FETE DOUNDO SENO,1,446,ABRI PROVISOIRE
PODOR,FANAYE,FORAGE WENDOU OULD,1,233,ABRI PROVISOIRE
PODOR,FANAYE,MEDINA KHAIRI,1,187,ABRI PROVISOIRE
PODOR,FANAYE,NDIEURBA,1,574,CLASSE CM1
PODOR,FANAYE,NDIEURBA,2,578,CLASSE CE2
PODOR,FANAYE,NDIEURBA,3,113,CLASSE CP
PODOR,FANAYE,PAMBINABE,1,520,ABRI PROVISOIRE
PODOR,FANAYE,SALNDE FANAYE,1,449,CLASSE CE1
PODOR,FANAYE,SALNDE FANAYE,2,451,CLASSE CP ECOLE
PODOR,FANAYE,TATKI,1,548,CLASSE CM1
PODOR,FANAYE,TATKI,2,550,CLASSE CE1
PODOR,FANAYE,TATKI,3,544,CLASSE CP ECOLE
PODOR,FANAYE,TATKI,4,177,CLASSE CI
PODOR,FANAYE,THIANGAYE,1,573,CLASSE CE1
PODOR,FANAYE,THIANGAYE,2,573,CLASSE CM1
PODOR,FANAYE,THIANGAYE,3,575,CLASSE CM2 ECOLE
PODOR,FANAYE,THIANGAYE,4,308,CLASSE CM1 A
