DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,GAMADJI SARE,ALVAR,1,509,CLASSE CE1
PODOR,GAMADJI SARE,BOMBODE,1,208,CLASSE CP
PODOR,GAMADJI SARE,COPPE MANGAYE,1,230,CLASSE CE1
PODOR,GAMADJI SARE,DIARA,1,580,CLASSE CE2
PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,1,588,CLASSE CP
PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,2,588,CLASSE CE1
PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,3,587,CLASSE CE2
PODOR,GAMADJI SARE,ECOLE GAMADJI SARE,4,585,CM2 A
PODOR,GAMADJI SARE,ECOLE THIELAO,1,531,CLASSE CE1
PODOR,GAMADJI SARE,ECOLE THIELAO,2,531,CLASSE CE 2
PODOR,GAMADJI SARE,ECOLE THIELAO,3,530,CLASSE CM2
PODOR,GAMADJI SARE,KODIOLEL,1,590,CLASSE CE1
PODOR,GAMADJI SARE,KODIOLEL,2,583,CLASSE CE2
PODOR,GAMADJI SARE,KODIOLEL,3,257,ECOLE CM1
PODOR,GAMADJI SARE,KORKADIEL,1,296,CLASSE CP
PODOR,GAMADJI SARE,MBELOGNE,1,203,CLASSE CP
PODOR,GAMADJI SARE,MBELOGNE,2,202,ABRI PROVISOIRE
PODOR,GAMADJI SARE,MOUNDOUWAYE,1,347,CLASSE CP
PODOR,GAMADJI SARE,NAMARDE,1,482,CLASSE CP
PODOR,GAMADJI SARE,NAMAREL ECOLE,1,549,CLASE CE 1
PODOR,GAMADJI SARE,NAMAREL ECOLE,2,549,CLASSE CE2
PODOR,GAMADJI SARE,NAMAREL ECOLE,3,548,CLASSE CM1
PODOR,GAMADJI SARE,NGANE,1,411,CLASSE CE1
PODOR,GAMADJI SARE,NGANE,2,410,CLASSE CE2
PODOR,GAMADJI SARE,OURO MALEY,1,590,CLASSE CP
PODOR,GAMADJI SARE,OURO MALEY,2,588,CLASSE CE1
PODOR,GAMADJI SARE,WINDOU DIAMY,1,530,CLASSE CP
PODOR,GAMADJI SARE,WINDOU DIAMY,2,144,CLASSE CE1
PODOR,GAMADJI SARE,YOLI,1,533,CLASSE CP
PODOR,GAMADJI SARE,YOLI,2,135,CLASSE CE 2
