DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,MADINA NDIATHBE,ARAM,1,471,CLASSE CE 1
PODOR,MADINA NDIATHBE,ARAM,2,471,CLASSE CP 2
PODOR,MADINA NDIATHBE,BILVILI,1,154,ABRI PROVISOIRE
PODOR,MADINA NDIATHBE,BOUNABE,1,402,ABRI PROVISOIRE
PODOR,MADINA NDIATHBE,CAS CAS,1,564,CLASSE CE 2 A
PODOR,MADINA NDIATHBE,CAS CAS,2,564,CLASSE CE 2 B
PODOR,MADINA NDIATHBE,CAS CAS,3,563,CLASSE CE 1
PODOR,MADINA NDIATHBE,CAS CAS,4,565,CLASSE CP 2
PODOR,MADINA NDIATHBE,CAS CAS,5,565,CLASSE CP 1
PODOR,MADINA NDIATHBE,CAS CAS,6,567,CLASSE CM2
PODOR,MADINA NDIATHBE,CAS CAS,7,566,CLASSE CM1
PODOR,MADINA NDIATHBE,CIVRE THIAMBE,1,463,CLASSE CE2
PODOR,MADINA NDIATHBE,CIVRE THIAMBE,2,468,CLASSE CM1
PODOR,MADINA NDIATHBE,DEMBA WASSA,1,190,CLASSE CM1
PODOR,MADINA NDIATHBE,DIAMY GALO,1,264,CLASSE CM2
PODOR,MADINA NDIATHBE,DOGUI DOMBI,1,332,CLASSE CI
PODOR,MADINA NDIATHBE,DOUNGUEL,1,506,CLASSE CE 1
PODOR,MADINA NDIATHBE,DOUNGUEL,2,507,CLASSE CE 2
PODOR,MADINA NDIATHBE,GONKOL 1,1,263,CLASSE CM 2
PODOR,MADINA NDIATHBE,HOUDIABE,1,415,CLASSE CE1
PODOR,MADINA NDIATHBE,KENENE,1,178,CLASSE CM1
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,1,571,CLASSE CP 2
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,2,569,CLASSE CE 2 A
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,3,569,CLASSE CE 2 B
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,4,574,CLASSE CP 1
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,5,565,CLASSE CM 1
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,6,560,CE2 A
PODOR,MADINA NDIATHBE,MADINA NDIATHBE,7,287,CLASSE CI A
PODOR,MADINA NDIATHBE,NANAYE PEULH,1,390,CLASSE CE 1
PODOR,MADINA NDIATHBE,OLOL DIAOBE,1,382,CLASSE CE 2
PODOR,MADINA NDIATHBE,OLOL DIAOBE,2,379,CLASSE CE 1
PODOR,MADINA NDIATHBE,OUROURBE DAKA,1,380,CLASSE CE 1
PODOR,MADINA NDIATHBE,OUROURBE DAKA,2,380,CLASSE CM 1
PODOR,MADINA NDIATHBE,SARE SOUKI,1,177,CLASSE CE2
PODOR,MADINA NDIATHBE,TAKOYEL,1,222,CLASSE CP 2
PODOR,MADINA NDIATHBE,TAKOYEL,2,221,CLASSE CE 2
PODOR,MADINA NDIATHBE,VINDOU BOKI,1,381,ABRI PROVISOIRE
PODOR,MADINA NDIATHBE,VINDOU BOKI,2,383,ABRI PROVISOIRE
PODOR,MADINA NDIATHBE,WOUNO,1,373,CLASSE CM 1
PODOR,MADINA NDIATHBE,YALALBE,1,265,CLASSE CE 2
