DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,MBOLO BIRANE,BOKE YALALBE,1,410,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,BOUGUEL BELLI EDI,1,486,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,BOUGUEL BELLI EDI,2,487,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,DIABA DEKLE,1,570,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,DIABA DEKLE,2,161,CLASSE CP
PODOR,MBOLO BIRANE,DIABA LIDOUBE,1,588,SALLE DE CLASSE CM1
PODOR,MBOLO BIRANE,DIABA LIDOUBE,2,591,SALLE DE CLASSE CE1 B
PODOR,MBOLO BIRANE,DIABA LIDOUBE,3,589,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,ECOLE GANGUEL,1,286,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,ECOLE THILAMOL DIABANABE,1,552,SALLE DE CLASSE CE2
PODOR,MBOLO BIRANE,GALOYA PEULH,1,458,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GALOYA PEULH,2,458,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GALOYA PEULH,3,461,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,GUIRVASS,1,26,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,KOUNADY,1,80,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE PEULH,1,271,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE PEULH,2,272,ABRI PROVISOIRE
PODOR,MBOLO BIRANE,LOUGUE SEBE,1,445,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,LOUGUE TOROBE,1,363,SALLE DE CLASSE CM1
PODOR,MBOLO BIRANE,LOUGUE TOROBE,2,364,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,LOUR SEBE,1,336,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,MBOLO ALI SIDI,1,564,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,MBOLO ALI SIDI,2,167,SALLE DE CLASSE
PODOR,MBOLO BIRANE,MBOLO BIRANE,1,552,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,MBOLO BIRANE,2,552,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,MBOLO BIRANE,3,550,ECOLE ELEMENTAIRE
PODOR,MBOLO BIRANE,MBOLO BIRANE,4,553,CLASSE CI
PODOR,MBOLO BIRANE,SAMBOWTE,1,249,CLASSE CM1
PODOR,MBOLO BIRANE,SINTHIOU AMADOU MARIAM,1,492,SALLE DE CLASSE CI
PODOR,MBOLO BIRANE,SINTHIOU AMADOU MARIAM,2,488,SALLE DE CLASSE CP
PODOR,MBOLO BIRANE,THIABOURLE,1,269,CLASSE CI
PODOR,MBOLO BIRANE,THILOUKI,1,446,SALLE DECLASSE CM1
PODOR,MBOLO BIRANE,THILOUKI,2,444,SALLE DE CLASSE CM2
PODOR,MBOLO BIRANE,TOUFNDE GANDE,1,463,SALLE DE CLASSE CE2
