DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,NDIAYENE PEINDAO,BAKAW,1,308,CLASSE CM2
PODOR,NDIAYENE PEINDAO,BELLY GONADJY,1,458,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,DIABOBE,1,303,CLASSE CM2
PODOR,NDIAYENE PEINDAO,DIAMEL,1,356,CLASSE CE2
PODOR,NDIAYENE PEINDAO,DIARDE,1,212,CLASSE CE2
PODOR,NDIAYENE PEINDAO,DIOFNDE DIALLY,1,430,CLASSE CM1
PODOR,NDIAYENE PEINDAO,DIOFNDE DIALLY,2,431,CLASSE CE1
PODOR,NDIAYENE PEINDAO,FIGO,1,432,CLASSE CE1
PODOR,NDIAYENE PEINDAO,HAMEDOULA,1,322,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,HIWIRGO,1,335,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,KADIOGNE,1,558,CLASSE CE2
PODOR,NDIAYENE PEINDAO,KADIOGNE,2,558,CLASSE CM1
PODOR,NDIAYENE PEINDAO,KADIOGNE,3,558,CLASSE CM2 ECOLE
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,1,506,CLASSE CE2
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,2,506,CLASSE CM1
PODOR,NDIAYENE PEINDAO,LOBOUDOU DOUE,3,506,CLASSE CM2
PODOR,NDIAYENE PEINDAO,NDIAYENE SARE,1,449,CLASSE CE1
PODOR,NDIAYENE PEINDAO,NDIAYENE SARE,2,449,CLASSE CM1
PODOR,NDIAYENE PEINDAO,NGUENDAR,1,499,CLASSE CM1
PODOR,NDIAYENE PEINDAO,NGUENDAR,2,482,CLASSE CM2
PODOR,NDIAYENE PEINDAO,NGUENDAR,3,182,CLASSE CI
PODOR,NDIAYENE PEINDAO,NIANGA DIERY,1,158,CLASSE CE1
PODOR,NDIAYENE PEINDAO,PEINDAO,1,562,CLASSE CE2
PODOR,NDIAYENE PEINDAO,PEINDAO,2,563,CLASSE CM2
PODOR,NDIAYENE PEINDAO,PEINDAO,3,568,CLASSE CP
PODOR,NDIAYENE PEINDAO,PEINDAO,4,519,CLASSE CI A
PODOR,NDIAYENE PEINDAO,PETEL,1,511,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,PETEOLE,1,320,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,SENO BOVAL,1,539,CLASSE CM1
PODOR,NDIAYENE PEINDAO,SIMA KIRAYE,1,274,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,THIEOLE,1,312,CLASSE CM1
PODOR,NDIAYENE PEINDAO,THIEOLE,2,312,CLASSE CE1
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,1,518,CLASSE CM2B
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,2,520,CLASSE C1A
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,3,508,CLASSE CM2A
PODOR,NDIAYENE PEINDAO,THILLE BOUBACAR,4,413,CLASSE CE1 B
PODOR,NDIAYENE PEINDAO,TIVAOUANE 2,1,179,CLASSE CE2
PODOR,NDIAYENE PEINDAO,WENDOU CIRE,1,525,ABRI PROVISOIRE
PODOR,NDIAYENE PEINDAO,WOURO DOULEL MBARICK,1,150,CLASSE CI
PODOR,NDIAYENE PEINDAO,WOURO KELLE,1,322,ABRI PROVISOIRE
