DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,PODOR,C. E. T. F.,1,591,SALLE DE CLASSE N° 1
PODOR,PODOR,C. E. T. F.,2,591,SALLE DE CLASSE N° 2
PODOR,PODOR,C. E. T. F.,3,589,SALLE DE CLASSE N° 3
PODOR,PODOR,C P R S,1,483,COLLEGE 2 PODOR SALLE 5
PODOR,PODOR,C P R S,2,482,COLLEGE 2 PODOR SALLE 6
PODOR,PODOR,C P R S,3,483,COLLEGE 2 PODOR SALLE 7
PODOR,PODOR,ECOLE ELIMANE BABA DICKEL WONE,1,349,SALLE DE CLASSE CM 1 A
PODOR,PODOR,ECOLE ELIMANE BABA DICKEL WONE,2,349,CE2 A
PODOR,PODOR,ECOLE ELIMANE BABA DICKEL WONE,3,350,SALLE DE CLASSE CE 1 B
PODOR,PODOR,ECOLE ELIMANE BABA DICKEL WONE,4,349,CE2 B
PODOR,PODOR,ECOLE HAMAT BA,1,553,SALLE DE CLASSE CE 2 B
PODOR,PODOR,ECOLE HAMAT BA,2,553,CM1 A
PODOR,PODOR,ECOLE HAMAT BA,3,551,CM2 B
PODOR,PODOR,ECOLE HAMAT BA,4,553,CMI A
PODOR,PODOR,ECOLE RACINE CHEIKH SOW,1,441,CM2 A
PODOR,PODOR,ECOLE RACINE CHEIKH SOW,2,439,CM1 A
PODOR,PODOR,ECOLE RACINE CHEIKH SOW,3,440,SALLE DE CLASSE CM 2 B
PODOR,PODOR,ECOLE RACINE CHEIKH SOW,4,440,SALLE DE CLASSE CM 1 B
PODOR,PODOR,SOUIMA,1,579,SALLE DE CLASSE CE 1 B
PODOR,PODOR,SOUIMA,2,441,CM2
