DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,FASS NGOM,BIDIAM MOURIDE,1,178,ECOLE CLASSE CP
SAINT LOUIS,FASS NGOM,ECOLE ELEMENTAIRE BOUBACAR MEDINA BAYE,1,282,CLASSE CI A
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,1,584,CLASSE CE 1
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,2,583,CLASSE CM 1
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,3,583,CLASSE CM 2
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,4,584,CLASSE CI A
SAINT LOUIS,FASS NGOM,ECOLE FASS NGOM,5,583,SALLE DE CLASSE
SAINT LOUIS,FASS NGOM,GOGNO CADIOR,1,490,CLASSE CP
SAINT LOUIS,FASS NGOM,KHATETE GAYE,1,336,CLASSE CE 1
SAINT LOUIS,FASS NGOM,MBAKHASS OUOLOF,1,127,CLASSE CM2
SAINT LOUIS,FASS NGOM,MBATHIASSE DIEYE,1,530,CLASSE CI
SAINT LOUIS,FASS NGOM,MBAYE MBAYE OUOLOF,1,236,ABRI PROVISOIRE
SAINT LOUIS,FASS NGOM,MBAYE MBAYE SARR,1,524,CLASSE CE
SAINT LOUIS,FASS NGOM,MBIRANE GAYE PEULH,1,231,CLASSE CM2
SAINT LOUIS,FASS NGOM,MBOULOUCK,1,380,CLASSE CI
SAINT LOUIS,FASS NGOM,MBOYE,1,406,CLASSE CE 1
SAINT LOUIS,FASS NGOM,NDABE SOW,1,145,ECOLE NDABE SOW:CLASSE CE1
SAINT LOUIS,FASS NGOM,NDAKHAR PEULH 1,1,445,CLASSE CI
SAINT LOUIS,FASS NGOM,NDIOUMNANE,1,350,CLASSE CI
SAINT LOUIS,FASS NGOM,NDIOUSS DIEYE,1,375,CLASSE CE 2
SAINT LOUIS,FASS NGOM,TAKHMBEUTH OUOLOF,1,325,CLASSE CE 1
SAINT LOUIS,FASS NGOM,TEUD BITTI,1,428,CLASSE CP
