DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,GANDON,BOP THIOR,1,128,CLASSE CP
SAINT LOUIS,GANDON,BOUDIOUCK,1,461,ECOLE CLASSE CI
SAINT LOUIS,GANDON,BOUDIOUCK,2,334,ECOLE SALLE DE CLASSE
SAINT LOUIS,GANDON,DIAMA THIAGUEL,1,143,ABRI PROVISOIRE
SAINT LOUIS,GANDON,DIOUGOB PEULH,1,484,CLASSE CI
SAINT LOUIS,GANDON,DIOUGOB PEULH,2,486,CLASSE CE1
SAINT LOUIS,GANDON,DIOUGOB PEULH,3,485,SALLE DE CLASSE
SAINT LOUIS,GANDON,GANDON,1,560,CLASSE CE1
SAINT LOUIS,GANDON,GANDON,2,561,CLASSE CM1
SAINT LOUIS,GANDON,GANDON,3,562,SALLE DE CLASSE
SAINT LOUIS,GANDON,LAMPSAR,1,512,CLASSE CE2
SAINT LOUIS,GANDON,LAMPSAR,2,511,CLASSE CM1
SAINT LOUIS,GANDON,LEYBAR,1,441,CLASSE CI
SAINT LOUIS,GANDON,MAKA TOUBE,1,589,CLASSE CP
SAINT LOUIS,GANDON,MAKA TOUBE,2,590,CLASSE CE1
SAINT LOUIS,GANDON,MAKHANA,1,343,CLASSE CM2
SAINT LOUIS,GANDON,MAKHANA,2,343,SALLE DE CLASSE
SAINT LOUIS,GANDON,MBARIGO,1,449,CLASSE CP
SAINT LOUIS,GANDON,MBARIGO,2,450,ECOLE BARIGOT CM1
SAINT LOUIS,GANDON,MERINA SALL,1,467,CLASSE CI
SAINT LOUIS,GANDON,MINGUEGNE BOYE,1,377,CLASSE CP
SAINT LOUIS,GANDON,MINGUEGNE BOYE,2,376,CLASSE CE1
SAINT LOUIS,GANDON,NDIAKHERE,1,341,CLASSE CI
SAINT LOUIS,GANDON,NDIAKHERE,2,342,ECOLE CLASSE CE1
SAINT LOUIS,GANDON,NDIAKHIP 2,1,435,CLASSE CP
SAINT LOUIS,GANDON,NDIAOUSSIR LEBOU,1,583,CLASSE CE1
SAINT LOUIS,GANDON,NDIAOUSSIR LEBOU,2,130,CLASSE CI
SAINT LOUIS,GANDON,NDIAWDOUNE,1,486,CLASSE CE2
SAINT LOUIS,GANDON,NDIAWDOUNE,2,487,CLASSE CI
SAINT LOUIS,GANDON,NDIAWDOUNE,3,488,SALLE DE CLASSE
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,1,503,CLASSE CI
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,2,503,CLASSE CE1
SAINT LOUIS,GANDON,NDIEBENE TOUBE OUOLOF,3,502,CLASSE CM2
SAINT LOUIS,GANDON,NDIEBENE TOUBE PEULH,1,448,ECOLE CLASSE CM 1
SAINT LOUIS,GANDON,NGAYE,1,530,CLASSE CP
SAINT LOUIS,GANDON,NGAYE NGAYE,1,571,CLASSE CE1
SAINT LOUIS,GANDON,NGAYE NGAYE,2,565,CLASSE CP
SAINT LOUIS,GANDON,NGAYE NGAYE,3,570,CLASSE CE2
SAINT LOUIS,GANDON,NGAYE NGAYE,4,241,CLASSE CE1 A
SAINT LOUIS,GANDON,NGUIGALAKH OUOLOF,1,496,CLASSE CE1
SAINT LOUIS,GANDON,NGUIGALAKH PEULH,1,467,CLASSE CP
SAINT LOUIS,GANDON,PANKET SARR,1,114,ABRI PROVISOIRE
SAINT LOUIS,GANDON,RAO,1,584,CLASSE CP
SAINT LOUIS,GANDON,RAO,2,585,CLASSE CE2
SAINT LOUIS,GANDON,RAO,3,585,CLASSE CM1
SAINT LOUIS,GANDON,RAO,4,582,CLASSE CI
SAINT LOUIS,GANDON,RAO,5,584,CLASSE CM2
SAINT LOUIS,GANDON,RAO PEULH,1,514,CLASSE CE1
SAINT LOUIS,GANDON,RAO PEULH,2,513,CLASSE CM1
SAINT LOUIS,GANDON,SANAR,1,326,CLASSE CI
SAINT LOUIS,GANDON,SANAR,2,322,CLASSE CP
SAINT LOUIS,GANDON,SANAR,3,324,CLASSE CE1
SAINT LOUIS,GANDON,THILLA,1,421,ABRI PROVISOIRE
SAINT LOUIS,GANDON,TOUBA GUENE,1,380,ABRI PROVISOIRE
SAINT LOUIS,GANDON,YAMANE SOGUE,1,413,ABRI PROVISOIRE
