DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,MPAL,CEM MAME RAWANE NGOM,1,482,CLASSE 5EME
SAINT LOUIS,MPAL,CEM MAME RAWANE NGOM,2,484,CLASSE 6EME
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,1,562,CLASSE CI
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,2,567,CLASSE CP
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,3,554,CLASSE CE1
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,4,574,CLASSE CM 1
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,5,557,CLASSE CM 2
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE DE MPAL SANT,6,547,CLASSE CE2
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE GRAND MPAL,1,548,CLASSE CI
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE GRAND MPAL,2,552,CLASSE CP
SAINT LOUIS,MPAL,ECOLE ELEMENTAIRE GRAND MPAL,3,330,CLASSE CM1
