DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,NDIEBENE GANDIOLE,DEGOU NIAYE,1,565,ABRI PROVISOIRE
SAINT LOUIS,NDIEBENE GANDIOLE,DEGOU NIAYE,2,79,CLASSE CP A
SAINT LOUIS,NDIEBENE GANDIOLE,DIELE MBAME,1,485,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,DOUNE BABA DIEYE,1,95,ECOLE DIELE MBAME CM 2
SAINT LOUIS,NDIEBENE GANDIOLE,ECOLE NDIOL GANDIOL,1,194,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,GANTOUR,1,467,CLASSE CP
SAINT LOUIS,NDIEBENE GANDIOLE,GANTOUR,2,289,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,KEUR BARKA,1,533,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,KEUR BARKA,2,164,CLASSE CM1 A
SAINT LOUIS,NDIEBENE GANDIOLE,LA BARRE,1,530,ECOLE CLASSE CE 2 B
SAINT LOUIS,NDIEBENE GANDIOLE,LA BARRE,2,276,ECOLE SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,LAHRAR 2,1,542,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,LAHRAR 2,2,72,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,MBOUMBAYE,1,472,CLASSE CE2
SAINT LOUIS,NDIEBENE GANDIOLE,MBOUMBAYE,2,472,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,MOUIT,1,525,CLASSE CM1
SAINT LOUIS,NDIEBENE GANDIOLE,MOUIT,2,526,CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,1,536,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,2,538,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,3,535,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,4,536,ECOLE NDIEBENE. G. SALLE DE CLASSE
SAINT LOUIS,NDIEBENE GANDIOLE,NDIEBENE GANDIOL,5,537,ECOLE NDIEBENE.G.CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,PELOUR 1,1,438,ABRI PROVISOIRE
SAINT LOUIS,NDIEBENE GANDIOLE,RICOTT,1,501,CLASSE CI
SAINT LOUIS,NDIEBENE GANDIOLE,RICOTT,2,500,CLASSE CE1
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,1,417,CLASSE CM1
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,2,419,CLASSE CM2
SAINT LOUIS,NDIEBENE GANDIOLE,TASSINERE,3,418,CLASSE CE2
