DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,1,548,SALLE DE CLASSE 3EME A
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,2,549,SALLE DE CLASSE 3EME C
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,3,550,SALLE DE CLASSE 5EME A
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,4,547,SALLE DE CLASSE 6EME B
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,1,593,SALLE 1
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,2,592,SALLE 2
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,3,595,SALLE 3
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,4,591,SALLE 4
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,5,593,SALLE 5
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,6,593,SALLE 6
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,7,590,SALLE 7
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,8,595,SALLE 8
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,1,532,SALLE 3
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,2,532,SALLE 2
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,3,529,SALLE 1
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,4,531,SALLE 4
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,5,528,SALLE 12
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,1,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,2,580,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,3,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,4,583,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,5,582,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,6,593,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,7,579,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,8,578,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,9,585,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,10,587,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,11,590,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,12,582,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,13,370,ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,1,576,CLASSE CM2A
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,2,575,CLASSE CM2B
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,3,573,CLASSE CE2
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,4,576,CLASSE CM1
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,5,569,CLASSE CI
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,6,576,SALLE DE CLASSE CE1 B
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,7,574,SALLE DE CLASSE CE2 A
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,8,568,SALLE DE CLASSE CE2 B
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,9,523,SALLE DE CLASSE CMI A
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,1,589,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,2,590,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,3,584,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,4,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,5,581,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,6,582,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,7,590,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CHEICK TOURE,8,370,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,1,591,CLASSE CI
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,2,590,CLASSE CM2B
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,3,591,CLASSE CPA
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,4,592,CLASSE CPB
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,5,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE CITE NIAX,6,586,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE EMILE SARR EX BRIERE DE LILLE,1,575,CLASSE CE2B
SAINT LOUIS,SAINT LOUIS,ECOLE EMILE SARR EX BRIERE DE LILLE,2,575,CLASSE CE1A
SAINT LOUIS,SAINT LOUIS,ECOLE EMILE SARR EX BRIERE DE LILLE,3,575,CLASSE CE1B
SAINT LOUIS,SAINT LOUIS,ECOLE EMILE SARR EX BRIERE DE LILLE,4,573,CLASSE CPA
SAINT LOUIS,SAINT LOUIS,ECOLE FANDIERY KONE,1,537,CLASSE CI
