DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,DIAMBATY,BADION LISS,1,199,ABRI PROVISOIRE
BOUNKILING,DIAMBATY,BANANA,1,226,CLASSE CI
BOUNKILING,DIAMBATY,BAYAMBA,1,512,CLASSE CE1
BOUNKILING,DIAMBATY,DAROU SALAM CISSE,1,522,ABRI PROVISOIRE
BOUNKILING,DIAMBATY,DIALAMBERE,1,192,ABRI PROVISOIRE
BOUNKILING,DIAMBATY,DIAMBATI,1,572,CLASSE CM2
BOUNKILING,DIAMBATY,DIANNAH SONCODOU,1,394,ABRI PROVISOIRE
BOUNKILING,DIAMBATY,KOUKOUYE,1,166,ABRI PROVISOIRE
BOUNKILING,DIAMBATY,MISSIRA SONCODOU,1,315,CLASSE CE2
BOUNKILING,DIAMBATY,SARE ILO,1,214,ECOLE CLASSE CE1
BOUNKILING,DIAMBATY,SYLLACOUNDA,1,299,ECOLE CLASSE CE1
BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,1,93,ECOLE CLASSE CP
BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,2,93,ECOLE CLASSE CE1
