DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,DIAROUME,BAGADADJI,1,225,CLASSE CE2
BOUNKILING,DIAROUME,BAGADADJI,2,225,CLASSE CP
BOUNKILING,DIAROUME,BANTANTO,1,428,CLASSE CP
BOUNKILING,DIAROUME,BISSARI LANG,1,185,ECOLE CLASSE CI
BOUNKILING,DIAROUME,DIAROUME,1,517,CLASSE CI
BOUNKILING,DIAROUME,DIAROUME,2,526,CLASSE CE2
BOUNKILING,DIAROUME,DIAROUME,3,521,CLASSE CM2
BOUNKILING,DIAROUME,DIAROUME,4,367,CLASSE CM1
BOUNKILING,DIAROUME,KANDIADIOU,1,308,CLASSE CP
BOUNKILING,DIAROUME,KANDIADIOU,2,309,CM2 ECOLE ELEMENTAIRE
BOUNKILING,DIAROUME,KANDIOUNKOU,1,306,CLASSE CP
BOUNKILING,DIAROUME,KANDIOUNKOU,2,302,ECOLE CLASSE CE1
BOUNKILING,DIAROUME,KATABA 1,1,151,ABRI PROVISOIRE
BOUNKILING,DIAROUME,KOUSSAOR,1,249,ECOLE CLASSE CI
BOUNKILING,DIAROUME,MANCONTON,1,269,CLASSE CI
BOUNKILING,DIAROUME,NDIAGNENE,1,282,ABRI PROVISOIRE
BOUNKILING,DIAROUME,NDIAMA,1,453,CLASSE CI
BOUNKILING,DIAROUME,NDIAMA,2,454,CLASSE CE2
BOUNKILING,DIAROUME,NDIAMA,3,453,CLASSE CM1
BOUNKILING,DIAROUME,NDIAMA,4,451,ECOLE CLASSE CE1
BOUNKILING,DIAROUME,NIANDANKI,1,449,ECOLE CLASSE CP
BOUNKILING,DIAROUME,SOUAKI,1,371,CLASSE CE2
BOUNKILING,DIAROUME,TOUBA DIASSOR,1,431,CLASSE CI
