DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,FAOUNE,DIOKOUL,1,421,ECOLE DIOKOUL CLASSE CI
BOUNKILING,FAOUNE,FAOUNE,1,394,CLASSE CP
BOUNKILING,FAOUNE,FAOUNE,2,395,CLASSE CE1
BOUNKILING,FAOUNE,FAOUNE,3,391,CLASSE CM1
BOUNKILING,FAOUNE,FASS NDIAYENE,1,302,ABRI PROVISOIRE
BOUNKILING,FAOUNE,MADINA BOCAR SY,1,298,CLASSE CE2
BOUNKILING,FAOUNE,MADINA BOCAR SY,2,299,CLASSE CM1
BOUNKILING,FAOUNE,MADINA DEMBA GANO,1,448,CP
BOUNKILING,FAOUNE,MADINA DEMBA GANO,2,138,CLASSE CP
BOUNKILING,FAOUNE,SARA ALPHA,1,216,ABRI PROVISOIRE
BOUNKILING,FAOUNE,SARE DEMBA THIOUNE,1,297,ECOLE SARE DEMBA THIOUNE CLASSE CI
BOUNKILING,FAOUNE,SARE PATHE DIALLO,1,365,ABRI PROVISOIRE
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,1,211,ECOLE CLASSE CP
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,2,211,ECOLE CLASSE CE1
BOUNKILING,FAOUNE,TOUBA MOURIDE,1,375,CLASSE CI
BOUNKILING,FAOUNE,TOUBA MOURIDE,2,373,CLASSE CP
BOUNKILING,FAOUNE,TOUBA MOURIDE,3,373,ECOLE TOUBA MOURIDE CLASSE CM2
