DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,NDIAMALATHIEL,DATOR KOUTA,1,139,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,1,214,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,2,213,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,3,213,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,1,377,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,2,378,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE TOUBA FALL,1,268,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,1,385,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,2,384,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,KANICOUNDA,1,295,CLASSE CE1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,1,525,CLASSE CM1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,2,524,CLASSE CM2
BOUNKILING,NDIAMALATHIEL,SARE BITEYE,1,236,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,SARE FODE,1,521,ECOLE CLASSE CP
BOUNKILING,NDIAMALATHIEL,SARE FODE,2,519,ECOLE CLASSE CE2
