DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,BAGHERE,BAGHERE,1,305,CLASSE CI
GOUDOMP,BAGHERE,BAGHERE,2,304,CLASSE CP
GOUDOMP,BAGHERE,BAKIDIOTO,1,471,CLASSE CI
GOUDOMP,BAGHERE,DIAMAYE,1,96,CLASSE CE2
GOUDOMP,BAGHERE,DIARIFA,1,155,CLASSE DE CM1
GOUDOMP,BAGHERE,FADIOUNGHAR,1,163,CLASSE CM2
GOUDOMP,BAGHERE,KAFOUL,1,257,CLASSE CI
GOUDOMP,BAGHERE,KANDIENOU SOUCOTOTO,1,403,ABRI PROVISOIRE
GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,1,151,CLASSE DE CM 2
GOUDOMP,BAGHERE,KANDIENOU SOUCOUTOTO,2,148,CLASSE DE CM2
GOUDOMP,BAGHERE,KENEWAL,1,434,ABRI PROVISOIRE
GOUDOMP,BAGHERE,LAMEL,1,221,CLASSE CI
GOUDOMP,BAGHERE,LAMEL,2,222,CLASSE CP2
GOUDOMP,BAGHERE,LAMEL,3,223,ABRI PROVISOIRE
GOUDOMP,BAGHERE,SANSANCOUTOTO,1,281,CLASSE CI
GOUDOMP,BAGHERE,SANSANCOUTOTO,2,281,ABRI PROVISOIRE
GOUDOMP,BAGHERE,SARE SAMBEL,1,156,CLASSE CM2
GOUDOMP,BAGHERE,SOLIKO,1,97,CLASSE CM2
GOUDOMP,BAGHERE,TALICOURTO,1,195,ABRI PROVISOIRE
GOUDOMP,BAGHERE,TALICOURTO,2,194,ABRI PROVISOIRE
