DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,DJIBANAR,BAFATA 1,1,565,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,BIRKAMA,1,512,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,BIRKAMA,2,512,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,DJIBANAR,BIRKAMA,3,513,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,DJIBANAR,DIATTACOUNDA 2,1,519,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,DJIBANAR,1,589,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,DJIBANAR,2,582,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,DJIBANAR,DJIBANAR,3,586,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,DJIBANAR,DJIBANAR,4,580,ECOLE ELEMENTAIRE SALLE 4
GOUDOMP,DJIBANAR,DJIBANAR,5,66,ECOLE ELEMENTAIRE CLASSE CM1 A
GOUDOMP,DJIBANAR,KLONIA,1,153,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,KOUNAYAN,1,567,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,DJIBANAR,KOUNAYAN,2,77,CLASSE CE1
