DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,1,573,CLASSE CIA
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,2,573,CLASSE CPA
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,3,572,CLASSE CPB
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,4,572,CLASSE CE1 B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,5,573,CLASSE CE2 A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,6,572,CLASSE CM1 A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 1,7,572,CLASSE CM1 B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,1,511,CLASSE CM2A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,2,510,CLASSE CM2B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,3,510,CLASSE CM1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 2,4,509,SALLE DE CLASSE
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,1,403,CLASSE CM1A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,2,404,CLASSE CM1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,3,403,CLASSE CE1A
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE 3,4,402,CLASSE CE1B
GOUDOMP,GOUDOMP,ECOLE ELEMENTAIRE BINDABA 1,1,276,CLASSE CM1
