DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,KARANTABA,BAMBADIONG,1,513,CLASSE CM1
GOUDOMP,KARANTABA,DIARENG,1,414,CLASSE CE2
GOUDOMP,KARANTABA,DIARENG,2,416,CLASSE CM1
GOUDOMP,KARANTABA,DIARENG,3,415,CLASSE CE1
GOUDOMP,KARANTABA,DJIDINKY MANDINGUE,1,422,CLASSE CE2
GOUDOMP,KARANTABA,KARANTABA,1,577,CLASSE CI
GOUDOMP,KARANTABA,KARANTABA,2,577,CLASSE CE1
GOUDOMP,KARANTABA,KARANTABA,3,575,CLASSE CE2
GOUDOMP,KARANTABA,KARANTABA,4,574,CLASSE CM1
GOUDOMP,KARANTABA,KOUBONI,1,297,CLASSE CI
GOUDOMP,KARANTABA,MANCONONDING,1,159,ECOLE ELEMENTAIRE CE1
GOUDOMP,KARANTABA,SAMBOU,1,253,CLASSE CI
GOUDOMP,KARANTABA,SANDINIERI,1,458,CLASSE CI
GOUDOMP,KARANTABA,SANDINIERI,2,456,CLASSE CE1
