DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,KOLIBANTANG,BANTANDIANG,1,302,CLASSE CP
GOUDOMP,KOLIBANTANG,BANTANDIANG,2,301,CLASSE CM1
GOUDOMP,KOLIBANTANG,KATABINA,1,105,ECOLE ELEMENTAIRE CLASSE CE2
GOUDOMP,KOLIBANTANG,KERACOUNDA,1,280,CLASSE CI
GOUDOMP,KOLIBANTANG,KERACOUNDA,2,281,CLASSE CE1
GOUDOMP,KOLIBANTANG,KOKOUM PEULH,1,99,ABRI PROVISOIRE
GOUDOMP,KOLIBANTANG,KOLIBANTANG,1,267,CLASSE CI
GOUDOMP,KOLIBANTANG,KOLIBANTANG,2,265,CLASSE CP
GOUDOMP,KOLIBANTANG,MAKA,1,424,CLASSE CI
GOUDOMP,KOLIBANTANG,MEDINA DEMBA SOW,1,181,ECOLE ELEMENTAIRE CM2
GOUDOMP,KOLIBANTANG,MISSIRA BOURBON,1,186,CLASSE CI
GOUDOMP,KOLIBANTANG,MOBAYA,1,347,CLASSE CI
GOUDOMP,KOLIBANTANG,MOYAFARA,1,355,CLASSE CI
GOUDOMP,KOLIBANTANG,SARE HALAL,1,382,CLASSE CM2
GOUDOMP,KOLIBANTANG,SOBALI,1,278,CLASSE CI
