DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,MANGAROUNGOU SANTO,BEYLAN,1,256,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,BINAKO,1,381,ECOLE ELEMENTAIRE SALLE1
GOUDOMP,MANGAROUNGOU SANTO,DJIDADJI MANDINGUE,1,434,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,KARANTABA SOUCOUTOTO,1,306,SALLE ECOLE ELEMENTAIRE 1
GOUDOMP,MANGAROUNGOU SANTO,KIGNINE,1,296,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,KOUGNARA DOUMA,1,362,SALLE ECOLE ELEMENTAIRE 1
GOUDOMP,MANGAROUNGOU SANTO,KOUGNARA DOUMA,2,360,ECOLE  ELEMENTAIRE  SALLE 2
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU DOUMA,1,357,ECOLE ELEM MANGAROUNGOU 2 SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU SANTO,1,278,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,MANGAROUNGOU SANTO,2,279,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,MANGAROUNGOU SANTO,MISSIRA MANGAROUNGOU,1,387,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,SAMBELCOUNDA DJIRBAN,1,266,ECOLE ELEMENTAIRE CLASSE CE2
GOUDOMP,MANGAROUNGOU SANTO,SEGAFOULA,1,263,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,MANGAROUNGOU SANTO,SOUMACOUNDA,1,341,ECOLE ELEMENTAIRE SALLE 1
