DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,SIMBANDI BALANTE,ATHIOUFA,1,285,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,BANI,1,207,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,BOUKAOUR,1,310,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,DJIMASSAR,1,184,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,DJIMBANA,1,329,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,DJIMBANA,2,328,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,SIMBANDI BALANTE,ECOLE DE BONDALI,1,216,CLASSE CM2
GOUDOMP,SIMBANDI BALANTE,ECOLE ELEMENTAIRE BOUTOGHOL,1,176,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,FARABA,1,193,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,HAMDALAYE,1,409,ECOLE ELEMENTAIRE CLASSE CE1
GOUDOMP,SIMBANDI BALANTE,KOLANE BALANTE,1,575,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,MANDINA BALANTE 2,1,458,ECOLE ELEMENTAIRE SALLE1
GOUDOMP,SIMBANDI BALANTE,MANDINA PEULH,1,156,ECOLE ELEMENTAIRE CM1
GOUDOMP,SIMBANDI BALANTE,MANECOUNDA 1,1,343,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,MISSIRA SAFANE,1,270,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,MISSIRA SAFANE,2,270,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,SIMBANDI BALANTE,NIAFOR SANTO,1,563,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,SIMBANDI BALANTE,NIAFOR SANTO,2,42,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,SIMBANDI BALANTE,SAFANE,1,533,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,SIMBANDI BALANTE,1,549,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,SIMBANDI BALANTE,2,550,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,SIMBANDI BALANTE,SIMBANDI BALANTE,3,559,ECOLE ELEMENTAIRE SALLE 3
GOUDOMP,SIMBANDI BALANTE,SIMBANDI BALANTE,4,216,CLASSE CM2 A
GOUDOMP,SIMBANDI BALANTE,TEMENTO MANDINGUE,1,278,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,TERIMBASSE BALANTE,1,195,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,SIMBANDI BALANTE,TERIMBASSE BALANTE,2,197,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,SIMBANDI BALANTE,THIAR,1,274,ECOLE ELEMENTAIRE CLASSE CE2
GOUDOMP,SIMBANDI BALANTE,THIAR,2,275,ECOLE ELEMENTAIRE CLASSE CP
