DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,SIMBANDI BRASSOU,BISSASSOU DOUMA,1,246,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,BISSASSOU SANTO,1,446,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,BOUCARCOUNDA,1,201,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,BOUCARCOUNDA,2,201,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,DAFIA,1,167,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,ECOLE ELEMENTAIRE BADOBAR DOUMA,1,119,CLASSE CE2
GOUDOMP,SIMBANDI BRASSOU,KAROUMBOU,1,569,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,MANCOLICOUNDA,1,293,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,MANCOLICOUNDA,2,292,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,SAMBOUCOUNDA,1,450,ECOLE ELEMENTAIRE CM2
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,1,566,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,2,557,CLASSE CP
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,3,553,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,4,562,CLASSE CP2
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,5,293,CLASSE CM2
GOUDOMP,SIMBANDI BRASSOU,WALICOUNDA SOUCOUTOTO,1,268,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,WALICOUNDA SOUCOUTOTO,2,267,ABRI PROVISOIRE
