DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,YARANG BALANTE,BAMBATO,1,248,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,BILASSAR BALANTE,1,377,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FARADIANTO MANDINGUE,1,433,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FASSADA,1,345,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,FASSANE,1,377,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,KANICO,1,229,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,KOUGNE MANDINGUE,1,331,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,LIMANE,1,406,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SANOU SENEGAL,1,341,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SATHIOUM,1,376,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SINA,1,337,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,SINDIMA MANDINGUE,1,547,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,THIANAFF,1,310,ECOLE ELEMENTAIRE SALLE 2
GOUDOMP,YARANG BALANTE,YARANG BALANTE,1,546,ECOLE ELEMENTAIRE SALLE 1
GOUDOMP,YARANG BALANTE,YARANG BALANTE,2,547,ECOLE  ELEMENTAIRE SALLE 2
