REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,1,464,CLASSE C E 2
SEDHIOU,BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,2,463,CLASSE CI
SEDHIOU,BOUNKILING,BOGHAL,DIAHIDINA,1,188,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,BOGHAL,DIAMWELLY SAMBA BA,1,115,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,BOGHAL,DONGHORO,1,153,ECOLE CLASSE CM2
SEDHIOU,BOUNKILING,BOGHAL,ECOLE DE BOUFARA,1,191,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,BOGHAL,ECOLE DE DAROU BAIDA,1,300,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,BOGHAL,ECOLE DE RYATT,1,293,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,BOGHAL,ECOLE DE SARE DEMBA NDIADO,1,458,ECOLE CLASSE CM2
SEDHIOU,BOUNKILING,BOGHAL,IRASSOLI,1,217,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,BOGHAL,MEDINA MODOU LOUM,1,160,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,BOGHAL,NDIOLOFENE,1,293,CLASSE CI
SEDHIOU,BOUNKILING,BOGHAL,NDIOLOFENE,2,294,CLASSE C E 2
SEDHIOU,BOUNKILING,BOGHAL,NIAFOUGNE,1,153,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,BOGHAL,SARE ALCALY,1,259,CLASSE  CI
SEDHIOU,BOUNKILING,BOGHAL,SARE ALCALY,2,258,CLASSE CP
SEDHIOU,BOUNKILING,BOGHAL,SARE ALCALY,3,258,CLASSE CM1
SEDHIOU,BOUNKILING,BOGHAL,SARE NDIAGA,1,345,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,BOGHAL,SARE SIDI,1,231,ECOLE SALLE 1
SEDHIOU,BOUNKILING,BOGHAL,SENOBA,1,420,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,BOGHAL,SENOBA,2,422,ECOLE CLASSE CM2
SEDHIOU,BOUNKILING,BONA,BONA,1,382,CLASSE CI
SEDHIOU,BOUNKILING,BONA,BONA,2,378,CLASSE CE1
SEDHIOU,BOUNKILING,BONA,BONA,3,379,CLASSE CP
SEDHIOU,BOUNKILING,BONA,BOUGHARI DOUMA,1,105,CLASSE CM1
SEDHIOU,BOUNKILING,BONA,BOUGHARI DOUMA,2,105,CLASSE CM2
SEDHIOU,BOUNKILING,BONA,BOUGHARY,1,159,CLASSE CE2
SEDHIOU,BOUNKILING,BONA,BRIOU,1,211,ECOLE CLASSE CM2
SEDHIOU,BOUNKILING,BONA,DJINIPER KILINKO,1,140,CLASSE CI
SEDHIOU,BOUNKILING,BONA,DJIRAGONE,1,417,CLASSE CM1
SEDHIOU,BOUNKILING,BONA,DJIRAGONE,2,416,CLASSE CM2
SEDHIOU,BOUNKILING,BONA,KAMANGOUBA,1,178,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,BONA,KANGODI,1,105,ABRI PROVISOIRE
