DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BAMBALI,BADIARI,1,232,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BADIARI,2,232,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BAMBALI,1,534,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BAMBALI,2,520,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BAMBALI,3,315,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,BAMBALI,BOUDHIEMAR MANDINGUE,1,428,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUDHIE SAMINE,1,352,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUDHIE SAMINE,2,350,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,BOUNO,1,346,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,BOUNO,2,344,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,FRANCOUNDA,1,422,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,KAPOL,1,392,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,KARANTABA NANI,1,342,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,MALIFARA,1,198,ECOLE ELEMENTAIRE
SEDHIOU,BAMBALI,MARONCOUNDA,1,238,ECOLE ELEMENTAIRE
SEDHIOU,BAMBALI,MISSIRA KARANTABA NANI,1,282,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,NGINDIR,1,339,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,NGINDIR,2,339,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,BAMBALI,SORANGE,1,376,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,TAMBANABA,1,312,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,BAMBALI,TENDABA KINDAKAM,1,411,ECOLE ELEMENTAIRE SALLE 1
