DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,DIENDE,AYNOUSSALAM,1,100,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BAKOUM MANDINGUE,1,137,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BAKOUM MANDINGUE,2,140,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,BISSARY,1,283,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,BOUSSOURA,1,136,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,DIATOUMA MANDINGUE,1,339,ECOME ELELENTAIRE SALLE 1
SEDHIOU,DIENDE,DIENDE,1,399,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,DIENDE,2,400,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,DIENDE,3,399,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,DIENDE,ECOLE ELEMENTAIRE BADIANDIAN DIOLA,1,182,SALLE 1
SEDHIOU,DIENDE,IDA,1,167,ECOLE ELEMENTAIRE
SEDHIOU,DIENDE,KOUNAYAN MANCAGNE,1,259,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,KOUNAYAN MANDINGUE,1,260,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,MANDINA FINDIFETO,1,300,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,SALIKEGNE,1,447,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,SITABA,1,317,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,TOURECOUNDA,1,208,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,DIENDE,TOURECOUNDA,2,207,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,DIENDE,U.C.1. BLOC VILLAGE,1,443,ECOLE ELEMENTAIRE
SEDHIOU,DIENDE,U.C.1. BLOC VILLAGE,2,440,ECOLE ELEMENTAIRE SALLE 2
