DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,KOUSSY,BABIRA,1,265,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,BARI,1,247,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,BASSAF,1,364,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,HAMDANY,1,254,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KEUR HABIB,1,249,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KOUSSY,1,447,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,KOUSSY,2,446,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,KOUSSY,KOUSSY,3,447,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,KOUSSY,NIMAYA U C 1,1,262,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,KOUSSY,NIMZAT,1,384,ABRI PROVISOIRE
SEDHIOU,KOUSSY,SANKOUYA,1,186,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,KOUSSY,SOUCOUTOTO,1,295,ECOLE ELEMENTAIRE SALLE 1
