DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,OUDOUCAR,DONGHEL,1,321,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,OUDOUCAR,MANCONOMBA,1,541,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,OUDOUCAR,MANCONOMBA,2,547,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,OUDOUCAR,MANCONOMBA,3,200,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,OUDOUCAR,MARANDAN,1,366,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,OUDOUCAR,MARANDAN,2,365,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,OUDOUCAR,MARANDAN,3,369,ECOLE ELEMENTAIRE SALLE 3
SEDHIOU,OUDOUCAR,OUDOUCAR,1,395,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,OUDOUCAR,OUDOUCAR,2,396,ECOLE ELEMENTAIRE SALLE 2
SEDHIOU,OUDOUCAR,SOUMBOUNDOU,1,591,ECOLE ELEMENTAIRE SALLE 1
SEDHIOU,OUDOUCAR,SOUMBOUNDOU,2,59,ECOLE ELEMENTAIRE SALLE 2
