DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,SEDHIOU,ECOLE 05 CHERIF MAKHFOUSS AIDARA,1,513,CM1 A
SEDHIOU,SEDHIOU,ECOLE 05 CHERIF MAKHFOUSS AIDARA,2,510,CLASSE CI B
SEDHIOU,SEDHIOU,ECOLE 05 CHERIF MAKHFOUSS AIDARA,3,512,CLASSE CM2 A
SEDHIOU,SEDHIOU,ECOLE 06/MORICOUNDA,1,549,CLASSE CIA
SEDHIOU,SEDHIOU,ECOLE 06/MORICOUNDA,2,556,CALSSE CIB
SEDHIOU,SEDHIOU,ECOLE 06/MORICOUNDA,3,544,CLASSE CE2A
SEDHIOU,SEDHIOU,ECOLE 06/MORICOUNDA,4,537,CLASSE CM2 B
SEDHIOU,SEDHIOU,ECOLE 06/MORICOUNDA,5,535,CLASSE CM1 B
SEDHIOU,SEDHIOU,ECOLE CHERIF SIDY AIDARA,1,568,CLASSE CM2A
SEDHIOU,SEDHIOU,ECOLE CHERIF SIDY AIDARA,2,573,CLASSE CM2B
SEDHIOU,SEDHIOU,ECOLE CHERIF SIDY AIDARA,3,575,CLASSE CE2 A
SEDHIOU,SEDHIOU,ECOLE CHERIF SIDY AIDARA,4,92,CLASSE CE1 A
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,1,516,CLASSE CM2A
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,2,524,CLASSE CM1A
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,3,517,CLASSE CPA
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,4,522,CLASSE CIA
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,5,511,CLASSE CE1A
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,6,517,CLASSE CM2 B
SEDHIOU,SEDHIOU,ECOLE CHERIF YOUNOUSS AIDARA,7,493,CLASSE CE2 A
SEDHIOU,SEDHIOU,ECOLE DE GOUDIABYA,1,505,ECOLE MONTAGNE ROUGE CLASSE CM2 B
SEDHIOU,SEDHIOU,ECOLE DE GOUDIABYA,2,513,ECOLE MONTAGNE ROUGE CLASSE CM1 B
SEDHIOU,SEDHIOU,ECOLE DE GOUDIABYA,3,503,ECOLE MONTAGNE ROUGE CLASSE CI A
SEDHIOU,SEDHIOU,ECOLE DE GOUDIABYA,4,484,ECOLE MONTAGNE ROUGE CLASSE CI B
SEDHIOU,SEDHIOU,ECOLE EL HADJI DEMBO COLY,1,544,CLASSE CM1 A
SEDHIOU,SEDHIOU,ECOLE EL HADJI DEMBO COLY,2,552,CLASSE CP A
SEDHIOU,SEDHIOU,ECOLE EL HADJI DEMBO COLY,3,548,CLASSE CP B
SEDHIOU,SEDHIOU,ECOLE EL HADJI DEMBO COLY,4,544,CLASSE CI B
SEDHIOU,SEDHIOU,LYCEE IBOU DIALLO,1,561,SALLE 2
SEDHIOU,SEDHIOU,LYCEE IBOU DIALLO,2,558,SALLE 6
SEDHIOU,SEDHIOU,LYCEE IBOU DIALLO,3,563,SALLE 8
