DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,BAKEL,ECOLE 3,1,523,CLASSE CE1B
BAKEL,BAKEL,ECOLE 3,2,524,CLASSE CM2B
BAKEL,BAKEL,ECOLE 3,3,523,CLASSE CI B
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,1,522,CLASSE CE1B
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,2,525,CLASSE CM1B
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,3,524,CLASSE CE2 A
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,4,523,CLASSE CE1 A
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,1,581,CLASSE CP A
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,2,580,CLASSE CM2 A
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,3,581,CLASSE CM2 B
BAKEL,BAKEL,MAIRIE,1,541,SALLE DELIBERATIONS
BAKEL,BAKEL,MAIRIE,2,540,BUREAU SECRETARIAT
BAKEL,BAKEL,MAIRIE,3,539,SALLE 1 SALLE DES FETES MAIRIE
BAKEL,BAKEL,MAIRIE,4,539,SALLE 2 SALLE DES FETES MAIRIE
BAKEL,BAKEL,MAIRIE,5,537,BUREAU SALLE DES FETES MAIRIE
BAKEL,BAKEL,THEATRE DE VERDURE,1,559,ECOLE FANDALE SALLE DE CLASSE
BAKEL,BAKEL,THEATRE DE VERDURE,2,483,ECOLE FANDALE CLASSE CE1
BAKEL,BAKEL,THEATRE DE VERDURE,3,480,ECOLE FANDALE CLASSE CM2
