DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAKEL,GABOU,ALAHINA BAMBARA,1,241,CLASSE CE1
BAKEL,GABOU,BEMA,1,413,CLASSE CP
BAKEL,GABOU,BORDE DIAWARA,1,257,CLASSE CE2
BAKEL,GABOU,DIABAL,1,474,CLASSE CE1
BAKEL,GABOU,GABOU,1,558,CLASSE CE 1
BAKEL,GABOU,GABOU,2,557,CM1A
BAKEL,GABOU,GABOU,3,557,CLASSE
BAKEL,GABOU,GABOU,4,210,CLASSE CM2
BAKEL,GABOU,GOUNIA,1,482,CLASSE CE1
BAKEL,GABOU,GOUREL MANDIOU,1,360,CLASSE CM2
BAKEL,GABOU,GUETHIE,1,192,ABRI  PROVISOIRE
BAKEL,GABOU,KADIEL SAMBOUBOU,1,382,CLASSE CP
BAKEL,GABOU,KAHE,1,387,CLASSE CE1
BAKEL,GABOU,MARSA,1,524,CLASSE CM1
BAKEL,GABOU,MARSA,2,524,CLASSE
BAKEL,GABOU,MAYEL FILI,1,92,ECOLE CLASSE CM2
BAKEL,GABOU,MISSIRA SAMBA YIDE,1,222,ABRI PROVISOIRE
BAKEL,GABOU,MISSIRA SAMBA YIDE,2,223,ABRI PROVISOIRE
BAKEL,GABOU,OLOLDOU,1,150,ABRI PROVISOIRE
BAKEL,GABOU,SAMBA KONTAYE,1,171,CLASSE CE 2
BAKEL,GABOU,SAMBA NIAME,1,380,ECOLE CLASSE CM 2
BAKEL,GABOU,SARE FADOUBE,1,223,CLASSE CP
BAKEL,GABOU,SINTHIOU MADINA,1,360,ABRI PROVISOIRE
BAKEL,GABOU,SINTHIOU SEYDOU DORO,1,357,ABRI PROVISOIRE
BAKEL,GABOU,SIRA DOUNDOU,1,164,CLASSE CM2
BAKEL,GABOU,SIRA MAMADOU BOCAR,1,338,CLASSE CE1
