DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,BALA,BALA,1,507,CLASSE CM2
GOUDIRY,BALA,BALA,2,506,CLASSE CE1
GOUDIRY,BALA,BALA,3,452,CLASSE CP
GOUDIRY,BALA,DIOULANGUEL,1,205,CLASSE CP
GOUDIRY,BALA,GAYE PARADJI,1,104,CLASSE CI
GOUDIRY,BALA,KOUTHIAKASSE,1,550,CLASSE CI
GOUDIRY,BALA,KOUTHIAKASSE,2,93,CLASSE CP
GOUDIRY,BALA,LOUNTHIE,1,114,CLASSE CP
GOUDIRY,BALA,MBANGOL,1,86,ABRI PROVISOIRE
GOUDIRY,BALA,NDIOUM DEMBA GUILLE,1,163,ABRI PROVISOIRE
GOUDIRY,BALA,NDOMBOTO,1,154,ABRI PROVISOIRE
GOUDIRY,BALA,SINTHIOU BOCAR KOBOR,1,63,ABRI PROVISOIRE
GOUDIRY,BALA,THIARA,1,307,CLASSE CE 2
