DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,BOYNGUEL BAMBA,AINOUMADY,1,432,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,ALAGUE,1,161,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BAKANABE,1,269,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BANI TAPIRDE,1,77,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,BODE,1,579,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BODE,2,47,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BOGAL,1,135,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,BOYNGUEL BAMBA,1,585,CLASSE CM2
GOUDIRY,BOYNGUEL BAMBA,DINDOUDY DOKA,1,270,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,FETE NIEBE,1,435,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,GOUMBO,1,214,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,GUELODE,1,214,CLASSE CM1
GOUDIRY,BOYNGUEL BAMBA,KANEHAMBE,1,131,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,KOUDY,1,337,CLASSE CM2
GOUDIRY,BOYNGUEL BAMBA,NANGANAME 2,1,185,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,OURO DAOUDA,1,168,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU BOCAR SAMBA,1,111,ABRI PROVISOIRE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU BOUBOU,1,192,SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU DOUBE,1,76,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU FOULBES,1,125,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,SINTHIOU MAMADOU CIRE,1,218,ECOLE SALLE DE CLASSE
GOUDIRY,BOYNGUEL BAMBA,TALIBADJI OUOLOF,1,95,ECOLE SALLE DE CLASSE
