DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,KOAR,DIALLOUBE,1,297,ABRI PROVISOIRE
GOUDIRY,KOAR,DIYABOUGOU SAKHO,1,249,CLASSE CE2
GOUDIRY,KOAR,INNALAH,1,227,CLASSE CE2
GOUDIRY,KOAR,KOAR,1,399,CLASSE CP
GOUDIRY,KOAR,KOAR,2,403,CLASSE CI
GOUDIRY,KOAR,MADINA OUOLOF,1,142,CLASSE CE2
GOUDIRY,KOAR,NAOUDE,1,149,CLASSE CE1
GOUDIRY,KOAR,NOUMOUYEL,1,372,CLASSE CE2
GOUDIRY,KOAR,SINTHIOU ABDOULAYE,1,114,CLASSE CP
GOUDIRY,KOAR,SINTHIOU NGUIDIVOL,1,321,CLASSE 2
GOUDIRY,KOAR,TABADING,1,564,CLASSE CM1
GOUDIRY,KOAR,TIVAOUANE,1,76,ABRI PROVISOIRE
