DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,KOULOR,DAMAMBA,1,358,ABRI PROVISOIRE
GOUDIRY,KOULOR,DIARRE MABOUBE 2,1,277,ECOLE CLASSE CE1
GOUDIRY,KOULOR,GAYE PARADJI 1,1,75,ABRI PROVISOIRE
GOUDIRY,KOULOR,KOULOR,1,548,ECOLE CLASSE CM2
GOUDIRY,KOULOR,KOULOR,2,552,ECOLE CLASSE 4
GOUDIRY,KOULOR,KOULOR,3,119,ECOLE SALLE DE CLASSE
GOUDIRY,KOULOR,MADINA TOUAT,1,251,ABRI PROVISOIRE
GOUDIRY,KOULOR,RABIA,1,257,ECOLE CLASSE CP
GOUDIRY,KOULOR,SARE THIERNO,1,135,ECOLE CLASSE CE1
GOUDIRY,KOULOR,SINTHIOU BOUGOUTH DIOUF,1,516,ECOLE CLASSE CP
GOUDIRY,KOULOR,SINTHIOU DIAOBE 2,1,345,ECOLE CLASSE CE1
GOUDIRY,KOULOR,SINTHIOU HAMATH ALI,1,100,ABRI PROVISOIRE
GOUDIRY,KOULOR,TATTA,1,121,ABRI PROVISOIRE
GOUDIRY,KOULOR,VEREDOUBI,1,93,ABRI PROVISOIRE
GOUDIRY,KOULOR,WALY BABACAR,1,453,ABRI PROVISOIRE
