DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BELE 2,1,149,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BIROM DIGUI,1,127,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOKI GUILE,1,148,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOKI MABOUBE,1,58,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,BOULEL,1,185,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,CIVIYABE,1,206,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DIARRE MABOUBE 1,1,223,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DIARRE MBOLO,1,295,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DINDOUDY SEYDY,1,50,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,DOUBEL BAIDI,1,47,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GALLOYABE,1,136,ECOLE SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GOGHEDJI,1,122,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,GUEVOL DIAVAMBE,1,137,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,LEVA DIOLFOUBE,1,253,ECOLE SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,LEVA HAMAT,1,233,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MAYEL WAMBABE,1,78,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MBAGNOU,1,225,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,MBAYLADJI,1,277,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NDIAKONE,1,202,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NDIYA,1,192,MAISON FAMILIALE RURALE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,NGARI ALI,1,135,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SINTHIOU MAMADOU BOUBOU,1,549,SALLE DE CLASSE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SINTHIOU OUMAR LILE,1,273,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,SOVOL,1,85,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,THIASKI,1,202,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,TOULDEKEDE,1,163,ABRI PROVISOIRE
GOUDIRY,SINTHIOU MAMADOU BOUBOU,WOURO SINGHA,1,105,ABRI PROVISOIRE
