DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,KAHENE,BOUB,1,139,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,BOURACOUNDA,1,204,CLASSE CP
KOUMPENTOUM,KAHENE,KABA,1,466,CLASSE CI
KOUMPENTOUM,KAHENE,KABA,2,466,CLASSE CE2
KOUMPENTOUM,KAHENE,KAHENE,1,402,CLASSE CI
KOUMPENTOUM,KAHENE,KAHENE,2,402,CLASSE CE1
KOUMPENTOUM,KAHENE,KANOUMA,1,230,CLASSE CE2
KOUMPENTOUM,KAHENE,KANTA,1,549,CLASSE CM1
KOUMPENTOUM,KAHENE,KANTA,2,66,CLASSE CE1
KOUMPENTOUM,KAHENE,KAWSARA 14,1,193,CLASSE CE 2
KOUMPENTOUM,KAHENE,MEDINA KANENE MALICK,1,289,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,MEDINA THIEKENE,1,209,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,MISSIRAH THIARENE,1,428,CLASSE CE1
KOUMPENTOUM,KAHENE,NDIOBENE 1,1,125,ABRI PROVISOIRE
KOUMPENTOUM,KAHENE,NGOUNTA TOUCOULEUR,1,275,CLASSE CI
KOUMPENTOUM,KAHENE,NGUEYENE,1,270,CLASSE CE1
KOUMPENTOUM,KAHENE,SINTHIOU TABANANI,1,258,CLASSE CP
KOUMPENTOUM,KAHENE,TIVAOUANE NIANI,1,229,CLASSE CP
