DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,MERETO,DAROU FALL,1,313,CLASSE CM2
KOUMPENTOUM,MERETO,DIAGLE SINE,1,470,CLASSE CM2
KOUMPENTOUM,MERETO,FOULACOLONG,1,299,CLASSE CE2
KOUMPENTOUM,MERETO,GALLE,1,377,CLASSE CE2
KOUMPENTOUM,MERETO,KEUR DAOUDA,1,449,CLASSE CM2
KOUMPENTOUM,MERETO,KOUMARE,1,406,CLASSE CM1
KOUMPENTOUM,MERETO,KOUNDIAO SOUARE,1,303,ABRI PROVISOIRE
KOUMPENTOUM,MERETO,MERETO,1,560,CLASSE CM1
KOUMPENTOUM,MERETO,MERETO,2,564,CLASSE CM2
KOUMPENTOUM,MERETO,MERETO,3,425,CLASSE CI B
KOUMPENTOUM,MERETO,MERETO,4,252,CLASSE CE1 A
KOUMPENTOUM,MERETO,NDIAMBOUR,1,265,CLASSE CM2
KOUMPENTOUM,MERETO,TOUBA SINE,1,247,CLASSE CM2
