DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,NDAM,BOUSSOURA,1,164,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,DAROU NDIMBELANE,1,264,CLASSE CM2
KOUMPENTOUM,NDAM,DAROU SALAM 2,1,474,CLASSE CE2
KOUMPENTOUM,NDAM,DAROU SALAM THIEKENE,1,130,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,DIOKOUL,1,380,CLASSE CM2
KOUMPENTOUM,NDAM,FASS GOUNASS,1,504,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,FASS GOUNASS,2,503,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,FASS GOUNASS,3,505,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,GOUNDIOUR,1,153,CLASSE CM1
KOUMPENTOUM,NDAM,MEDINA BAMBARA,1,201,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,MEDINA NDIOBENE,1,125,CLASSE CI
KOUMPENTOUM,NDAM,NDAME,1,167,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,NDOUMANE MBAYE,1,158,ECOLE CLASSE CP1
KOUMPENTOUM,NDAM,NGUEYENE,1,99,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,SINTHIOU DOKI,1,109,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,SINTHIOU MBALBE,1,223,ABRI PROVISOIRE
KOUMPENTOUM,NDAM,TOUBA NIANI,1,110,CLASSE CI
KOUMPENTOUM,NDAM,TOUBA THIAMENE,1,155,CLASSE CM1
