DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUMPENTOUM,PASS KOTO,BOULIMANGA PEULH 1,1,79,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,DIAGLE NDAWENE,1,134,CLASSE CE 2
KOUMPENTOUM,PASS KOTO,DIAMVELI,1,357,CLASSE CI
KOUMPENTOUM,PASS KOTO,FASS ALPHA,1,64,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,KOUSSALANG,1,87,CLASSE CI
KOUMPENTOUM,PASS KOTO,NDATOU DIABA,1,90,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,NDOUNGOUSSINE,1,278,CLASSE CE 1
KOUMPENTOUM,PASS KOTO,NGANTHILANE DIADIE,1,175,CLASSE CP
KOUMPENTOUM,PASS KOTO,NGUINOKH,1,132,CLASSE CM 1
KOUMPENTOUM,PASS KOTO,PASS KOTO,1,511,CLASSE CE 1
KOUMPENTOUM,PASS KOTO,PASS KOTO,2,92,CLASSE CM2
KOUMPENTOUM,PASS KOTO,PATOULANE OUOLOF,1,435,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU FODE,1,161,CLASSE CI
KOUMPENTOUM,PASS KOTO,SINTHIOU KALDING,1,175,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU KOBOTO,1,526,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU MAKA KOTO,1,244,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,SINTHIOU NDIENE,1,496,CLASSE CM 2
KOUMPENTOUM,PASS KOTO,SINTHIOU PAGNATE,1,221,CLASSE CI
KOUMPENTOUM,PASS KOTO,TAIBATOU,1,84,ABRI PROVISOIRE
KOUMPENTOUM,PASS KOTO,VELINGARA KOTO,1,285,CLASSE CM 1
