DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,DIALOKOTO,BADI,1,283,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,BANTANCOUNTOU,1,161,CLASSE CP
TAMBACOUNDA,DIALOKOTO,DALABA,1,98,ABRI PROVISOIRE
TAMBACOUNDA,DIALOKOTO,DARSALAM FODE,1,135,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,1,562,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,2,563,SALLE CLASSE CE2
TAMBACOUNDA,DIALOKOTO,DIALAKOTO,3,561,SALLE CLASSE CM2
TAMBACOUNDA,DIALOKOTO,DIALAMAKHAN,1,222,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,DIENOUDIALA,1,334,SALLE CLASSE CP
TAMBACOUNDA,DIALOKOTO,GAMON,1,179,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,LABOYA,1,326,ABRI PROVISOIRE
TAMBACOUNDA,DIALOKOTO,MADINA COUTA,1,293,SALLE CLASSE CP
TAMBACOUNDA,DIALOKOTO,MADINA NIEMENIKE MALINKE,1,392,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,MADINA NIEMENIKE MALINKE,2,392,SALLE CLASSE CM2
TAMBACOUNDA,DIALOKOTO,MANSADALA,1,215,SALLE CLASSE C I
TAMBACOUNDA,DIALOKOTO,OUASSADOU DEPOT,1,589,SALLE CLASSE CI
TAMBACOUNDA,DIALOKOTO,TALIKORIN SANTANCOLY,1,97,SALLE CLASSE CI
