DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,MAKACOLIBANTANG,BARKAYEL,1,217,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,BAROCOUNDA,1,266,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,BOULIMBOU,1,264,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,COLIBANTANG,1,513,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,COLIBANTANG,2,512,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,DEMBARING,1,159,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,DIAMGOULOR,1,192,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,DIENDE,1,258,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,DIYABOUGOU,1,204,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,FADIACOUNDA,1,413,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MADINA SANDOU,1,180,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,1,327,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,2,326,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,MAKA,3,326,CLASSE CM2
TAMBACOUNDA,MAKACOLIBANTANG,MAKA CISSE,1,158,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,MAKANDING,1,262,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MAKA VILLAGE,1,569,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,MAKA VILLAGE,2,390,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,MANIGUI KOLIKASSA,1,208,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,MBOURO KALDING,1,82,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,MISSIRAH SEYDOU,1,122,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,PAKEBA,1,212,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SAMBA NGUAYE,1,243,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,SANACOUNDA,1,87,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,SANDING KERING,1,153,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SANDOUGOU MANA,1,194,CLASSE CE1
TAMBACOUNDA,MAKACOLIBANTANG,SANKABARI BAKARI,1,264,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SAO SOUCOUTA,1,240,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SAO SOUCOUTA,2,239,CLASSE CM1
TAMBACOUNDA,MAKACOLIBANTANG,SARE DIAME,1,173,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SARE ELI,1,190,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SARE ELI DIEDI,1,97,ABRI PROVISORE
TAMBACOUNDA,MAKACOLIBANTANG,SARE MALLA,1,108,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU BOURE BANNA NDAO,1,117,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU KALDING,1,298,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SAMBA SIRA,1,164,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SOUBACOUNDA,1,192,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SINTHIOU SOUNA DIALLO 1,1,200,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,SITAKOUROU MANDINGUE,1,451,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,TABADIANG SOUNA,1,111,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,TABANDING OUOLOF,1,139,ABRI PROVISOIRE
TAMBACOUNDA,MAKACOLIBANTANG,THIARA OUMAR DIAO,1,69,CLASSE CP
TAMBACOUNDA,MAKACOLIBANTANG,WALIA SAMBA DEME,1,170,CLASSE CI
TAMBACOUNDA,MAKACOLIBANTANG,YORODONDE,1,280,CLASSE CP
