DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,MISSIRAH (TAMBA),BAMBADINKA,1,403,CLASSE CM2
TAMBACOUNDA,MISSIRAH (TAMBA),BIRA,1,372,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),DIAMVELI 2,1,57,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),DIYABOUGOU,1,280,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),GOULOUMBOU,1,261,SALLE CLASSE C I
TAMBACOUNDA,MISSIRAH (TAMBA),GOULOUMBOU,2,261,SALLE DE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),GUINGUINEO,1,229,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),HAFIA BASSARI TOUMBOUN PLACE PUBLIQ,1,137,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE NDIAPALDE,1,355,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE PONT,1,312,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE TESSAN,1,312,SALL E CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),HAMDALLAYE TESSAN,2,313,SALLE CLASSE CE1
TAMBACOUNDA,MISSIRAH (TAMBA),KOUAR 2,1,510,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),LAREDJI,1,139,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),LOUGUE NIALBI,1,152,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADIALI,1,461,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA BOULACOUNDA,1,222,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA DIAKHA,1,441,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA DIAN,1,223,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MADINA MAMADOU,1,117,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MAHINA COURA,1,126,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,1,570,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,2,579,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,3,576,SALLE CLASSE CE1
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,4,568,SALLE CLASSE CM2
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,5,573,SALLE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH,6,154,E. FADIAME SYLLA CLA PRESCOLAIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH TABADIAN,1,248,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),MISSIRAH TOUNGOUNDE,1,220,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),MOUFOUTI,1,79,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),NGEEN,1,461,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),NIAOULE MBAYGOU,1,202,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),NIAOULE TANOU,1,457,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SAAL,1,191,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SABI MOULESSI,1,258,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SANKAGNE 1,1,226,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),SANKAGNE 1,2,229,SALLE DE CLASSE
TAMBACOUNDA,MISSIRAH (TAMBA),SARE PATHE FOUGOULOU,1,117,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),SARE THIDI,1,417,ABRI PROVISOIRE
TAMBACOUNDA,MISSIRAH (TAMBA),SOCOUNDA ADIAF,1,238,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),TABADIAN DIALIKO,1,210,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),TOUBA,1,506,SALLE CLASSE CI
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA BIDIANKOTO,1,579,SALLE CLASSE CP
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA BIDIANKOTO,2,142,CE2
TAMBACOUNDA,MISSIRAH (TAMBA),VELINGARA LEGUEL,1,104,ABRI PROVISOIRE
