DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,NETTEBOULOU,BANTANTINTI,1,404,SALLE CLASSE CP
TAMBACOUNDA,NETTEBOULOU,DARSALAM,1,449,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,DIADALLA,1,254,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,DJINKORE PEULH,1,328,SALL E CLASSE CP
TAMBACOUNDA,NETTEBOULOU,FARABA,1,228,SALLE CLASSE CE2
TAMBACOUNDA,NETTEBOULOU,FODECOUNDA ANSOU,1,259,SALLE CLASSE CE1
TAMBACOUNDA,NETTEBOULOU,GUENETO,1,214,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,KEGNEBA,1,263,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,KENINDALLA,1,173,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,KOULAR,1,178,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,KOUNKOUBA,1,206,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,KOUNTOU NDIOBO,1,120,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,MISSIRAH SARACOLLE,1,165,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,NETTEBOULOU 1,1,536,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,NETTEBOULOU 1,2,536,SALLE CLASSE CM2
TAMBACOUNDA,NETTEBOULOU,OUNDOUNDOU DIAKHA,1,172,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,SARE NIANA 1,1,229,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,SARE SALOUM,1,216,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,SEGOU KOURA,1,463,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,SITAOULE MANDINGUE,1,238,SALLE CLASSE CP
TAMBACOUNDA,NETTEBOULOU,SOUROUYEL,1,454,SALLE CLASSE CI
TAMBACOUNDA,NETTEBOULOU,THIARA,1,183,ABRI PROVISOIRE
TAMBACOUNDA,NETTEBOULOU,TOUBA DAROU SALAM,1,72,ABRI PROVISOIRE
