DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TAMBACOUNDA,SINTHIOU MALEME,BOTOU,1,415,ECOLE ( CLASSE CI )
TAMBACOUNDA,SINTHIOU MALEME,BOUCARICOUNDA DIALLO,1,114,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,BOUDOU BOUDOU,1,214,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,CASE DE SANTE MADINA NIANA,1,364,CASE DE SANTE
TAMBACOUNDA,SINTHIOU MALEME,DIALAKORO 1,1,167,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,DIOMBODINA MANDINGUE,1,99,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 2 SINTHIOU MALEME,1,317,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 2 SINTHIOU MALEME,2,317,CLASSE CM1
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 3 SADIOBOULOU PEULH,1,106,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE 3 SINTHIOU MALEME GUINAW RAIL,1,506,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,1,525,CLASSE CE1
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,2,523,CLASSE CE2
TAMBACOUNDA,SINTHIOU MALEME,ECOLE MANSA KALY OUALY,3,525,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE PADAH PEULH,1,152,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,ECOLE SARE OUSMANE,1,155,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,GUIRIGARA,1,120,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,KOUTHIA,1,117,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,LICOUNDA MANDINGUE,1,256,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MADINA DIAKHA,1,281,CLASSE CE1
TAMBACOUNDA,SINTHIOU MALEME,MADINA MABOUBE,1,171,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MADINA SARAKHOLE,1,227,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,MARIBOUGOU,1,69,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,MAYEL DIBI,1,83,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,PONT IDAKOTO,1,107,SALLE DE CLASSE
TAMBACOUNDA,SINTHIOU MALEME,SAMECOUTA PEULH,1,196,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SARE FARING,1,180,CLASSE CP
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU DIALIGUE,1,137,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU FARING,1,149,ABRI PROVISOIRE
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU GAYO,1,264,CLASSE CM1
TAMBACOUNDA,SINTHIOU MALEME,SINTHIOU MAYEL,1,69,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,SIRMANDIALA BOYE,1,278,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,THIAVOR,1,93,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,TOUBA FALL,1,324,CLASSE CI
TAMBACOUNDA,SINTHIOU MALEME,VELINGARA SABAKE,1,123,ABRI PROVISOIRE
