DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,DIASS,BANDIA BAMBARA,1,429,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BANDIA SESSENE,1,570,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BANDIA SESSENE,2,38,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,BOUKHOU,1,532,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,BOUKHOU,2,531,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,BOUKHOU,3,531,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DAGGA,1,447,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DAGGA,2,445,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS,1,598,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DIASS,2,599,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS,3,598,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DIASS,4,597,ECOLE ELEMENTAIRE SALLE 4
MBOUR,DIASS,DIASS,5,594,ECOLE ELEMENTAIRE SALLE 5
MBOUR,DIASS,DIASS,6,598,ECOLE ELEMENTAIRE SALLE 6
MBOUR,DIASS,DIASS NGAM,1,575,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,DIASS NGAM,2,569,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,DIASS NGAM,3,79,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,DOBOUR,1,294,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,ECOLE KANDAM,1,592,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,ECOLE KANDAM,2,591,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,GANDOUL,1,431,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KHOLPA,1,564,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KIRENE,1,541,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,KIRENE,2,545,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,KIRENE,3,240,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,MBAYARD,1,484,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,MBAYARD,2,167,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,PACKY,1,471,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,PACKY,2,472,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,RAFFO,1,288,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,SAMKEDJ,1,488,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,SAMKEDJ,2,489,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,THICKY,1,577,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,THICKY,2,580,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,THICKY,3,575,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,THICKY,4,517,ECOLE ELEMENTAIRE SALLE 4
MBOUR,DIASS,TOGLOU OUOLOF,1,385,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,TOGLOU OUOLOF,2,384,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,TOGLOU SERERE,1,553,ECOLE ELEMENTAIRE SALLE 1
MBOUR,DIASS,TOGLOU SERERE,2,552,ECOLE ELEMENTAIRE SALLE 2
MBOUR,DIASS,TOGLOU SERERE,3,553,ECOLE ELEMENTAIRE SALLE 3
MBOUR,DIASS,TOGLOU SERERE,4,554,ECOLE ELEMENTAIRE SALLE 4
