DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,FISSEL,BACK,1,508,CLASSE CE1
MBOUR,FISSEL,BADD,1,506,CLASSE CI
MBOUR,FISSEL,CISSIS,1,327,CLASSE CE1
MBOUR,FISSEL,CISSIS,2,326,CLASSE CM1
MBOUR,FISSEL,DIOB,1,307,CLASSE CE2
MBOUR,FISSEL,FISSEL,1,543,CLASSE CM2A
MBOUR,FISSEL,FISSEL,2,553,CLASSE CM1A
MBOUR,FISSEL,FISSEL,3,256,CLASSE CM2 B
MBOUR,FISSEL,FISSEL SERERE,1,470,CLASSE C E 2
MBOUR,FISSEL,FISSEL SERERE,2,470,CLASSE CM2
MBOUR,FISSEL,KHAOUL GODOGUENE,1,310,CLASSE CM1
MBOUR,FISSEL,KHAOUL GODOGUENE,2,309,CLASSE CE1
MBOUR,FISSEL,KHAOUL GODOGUENE,3,309,CLASSE CM2
MBOUR,FISSEL,KHAOUL TOC NGOL,1,384,ECOLE CLASSE CE2
MBOUR,FISSEL,KOBORANE,1,125,ECOLE CLASSE CM2
MBOUR,FISSEL,LAMBAYENE,1,475,CLASSE CE2
MBOUR,FISSEL,LANGHOMACK,1,421,CLASSE CM2
MBOUR,FISSEL,MBALACAM,1,321,ECOLE CLASSE CI
MBOUR,FISSEL,MBALAMSONE,1,373,CLASSE CM1A
MBOUR,FISSEL,MBALAMSONE,2,372,CLASSE CE1
MBOUR,FISSEL,MBEDAP,1,190,CLASSE CE1
MBOUR,FISSEL,MBELLANGHOUT,1,238,CLASSE CI
MBOUR,FISSEL,MBOUFOUDJI,1,382,CLASSE CE1
MBOUR,FISSEL,MBOUFOUDJI,2,383,CE2 ECOLE ELEMENTAIRE
MBOUR,FISSEL,MBOULOUCTENE SECCO,1,326,CLASSE CE2
MBOUR,FISSEL,MEDINE,1,471,CLASSE CM2
MBOUR,FISSEL,NDAGDAM,1,259,CLASSE CI
MBOUR,FISSEL,NDIASSANE,1,388,CLASSE CM2
MBOUR,FISSEL,NDIASSANE,2,388,CLASSE CE1
MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,218,ECOLE CLASSE CM1
MBOUR,FISSEL,NDOFFANE,1,339,CLASSE CM2
MBOUR,FISSEL,NDOUNGH,1,457,CLASSE CM1
MBOUR,FISSEL,NDOUNGH,2,456,CLASSE CE2
MBOUR,FISSEL,NDOYOMBOUTH,1,280,CLASSE CM1
MBOUR,FISSEL,NGHONEME,1,235,CLASSE CI
MBOUR,FISSEL,NGUERANE,1,160,ECOLE CLASSE CP
MBOUR,FISSEL,SASSAKH,1,181,ECOLE CLASSE ALPHABETISATION
MBOUR,FISSEL,SASSAL,1,217,CLASSE CM1
MBOUR,FISSEL,SOP,1,508,CLASSE CM1
MBOUR,FISSEL,SOP,2,508,CLASSE CE2
MBOUR,FISSEL,TOCOMACK,1,537,CLASSE CP
MBOUR,FISSEL,TOCOMACK,2,96,ECOLE CLASSE CM2
