DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,NGUEKHOKH,ECOLE 2,1,582,CLASSE CM2
MBOUR,NGUEKHOKH,ECOLE 2,2,583,CLASSE CM1
MBOUR,NGUEKHOKH,ECOLE 2,3,582,CLASSE CE1
MBOUR,NGUEKHOKH,ECOLE 2,4,582,CLASSE CE2
MBOUR,NGUEKHOKH,ECOLE 2,5,584,CLASSE CE 1
MBOUR,NGUEKHOKH,ECOLE 2,6,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,7,582,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,8,579,SALLE DE CLASSE
MBOUR,NGUEKHOKH,ECOLE 2,9,583,ECOLE ELEMENTAIRE SALLE 9
MBOUR,NGUEKHOKH,ECOLE 2,10,583,ECOLE ELEMENTAIRE SALLE 10
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,1,585,CLASSE CM 1 B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,2,588,CLASSE CM1A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,3,587,CLASSE CE2B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,4,586,CLASSE CE1C
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,5,587,CLASSE CE1B
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,6,590,CLASSE CE1A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,7,590,CLASSE CE2A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,8,589,CLASSE CPA
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,9,590,CLASSE CPB
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,10,588,CLASSE CI A
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,11,588,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,12,587,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,13,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,14,589,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,15,581,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,16,586,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,17,584,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,18,576,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,19,586,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,20,424,SALLE DE CLASSE
MBOUR,NGUEKHOKH,NGUEKOKH OUOLOF,21,423,SALLE DE CLASSE
