DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SANDIARA,FAYLAR,1,438,CLASSE CE2
MBOUR,SANDIARA,FAYLAR,2,316,SALLE DE CLASSE
MBOUR,SANDIARA,GODAGUENE,1,382,CLASSE CE2
MBOUR,SANDIARA,GODAGUENE,2,382,CLASEE CMI
MBOUR,SANDIARA,KIBICK,1,264,CLASSE CE2
MBOUR,SANDIARA,KOUTHIE,1,382,CLASSE CM2
MBOUR,SANDIARA,LOULY BENTEGNE,1,549,CLASSE CI
MBOUR,SANDIARA,LOULY MBAFAYE,1,385,CLASSE CI
MBOUR,SANDIARA,LOULY MBAFAYE,2,384,CLASSE CE1
MBOUR,SANDIARA,LOULY NDIA,1,329,CLASSE CM1
MBOUR,SANDIARA,LOULY NGOGOM,1,418,CLASSE CP
MBOUR,SANDIARA,LOULY SINDIANE,1,366,CLASSE CE1
MBOUR,SANDIARA,MBOUROKH,1,504,CLASSE CM1
MBOUR,SANDIARA,NDIOUKH FISSEL,1,435,CLASSE CE2
MBOUR,SANDIARA,NDIOUKH THIOROKH,1,540,CLASSE CP
MBOUR,SANDIARA,NDOLLOR,1,245,CLASSE CM2
MBOUR,SANDIARA,NGOMENE,1,218,CLASSE ARABE PUBLIQUE
MBOUR,SANDIARA,NIANIAR,1,339,CLASSE CE2
MBOUR,SANDIARA,SAMANE,1,84,ABRI PROVISOIRE
MBOUR,SANDIARA,SANDIARA,1,575,CLASSE CI
MBOUR,SANDIARA,SANDIARA,2,575,CLASSE CPA
MBOUR,SANDIARA,SANDIARA,3,574,CLASSE CM1C
MBOUR,SANDIARA,SANDIARA,4,574,CLASSE CM2A
MBOUR,SANDIARA,SANDIARA,5,572,CLASSE CM2B
MBOUR,SANDIARA,SANDIARA,6,574,ECOLE 1
MBOUR,SANDIARA,SANDIARA,7,567,ECOLE 1 CLASSE CE2
MBOUR,SANDIARA,SANDIARA,8,309,CP B
MBOUR,SANDIARA,SOUKHEME,1,573,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUKHEME,2,35,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUSSANE,1,590,ABRI PROVISOIRE
MBOUR,SANDIARA,SOUSSANE,2,49,ABRI PROVISOIRE
