DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SESSENE,DIOKHAR,1,389,CLASSE CM1
MBOUR,SESSENE,DIOKHAR,2,388,CLASSE CM2
MBOUR,SESSENE,GOHE,1,339,CLASSE CE2
MBOUR,SESSENE,GOHE,2,339,CLASSE CI
MBOUR,SESSENE,GOROU,1,450,CLASSE CE1
MBOUR,SESSENE,KEUR EL HADJI,1,263,CLASSE CI ECOLE ELEMENTAIRE
MBOUR,SESSENE,KEUR YERIM,1,477,CLASSE CM1
MBOUR,SESSENE,KHEME,1,443,CLASSE CE1
MBOUR,SESSENE,LALLAM,1,222,CLASSE CE1
MBOUR,SESSENE,NDIADIANE,1,474,CLASSE CM1
MBOUR,SESSENE,NDIEFFER,1,405,CLASSE CE2
MBOUR,SESSENE,NDIEFFER,2,404,CLASSE CM2
MBOUR,SESSENE,NDIOUDIOUF,1,333,CLASSE CE2
MBOUR,SESSENE,NGUEDIANE,1,488,CLASSE CI
MBOUR,SESSENE,NIOMAR,1,312,CLASSE CM2
MBOUR,SESSENE,NIOMAR,2,312,CLASSE CE1
MBOUR,SESSENE,SAO,1,407,CLASSE CI
MBOUR,SESSENE,SAOKOM,1,321,ABRI PROVISOIRE 1
MBOUR,SESSENE,SAOKOM,2,322,ABRI PROVISOIRE 2
MBOUR,SESSENE,SESSENE,1,600,CLASSE CM1
MBOUR,SESSENE,SESSENE,2,600,CLASSE CM2
MBOUR,SESSENE,TATTAGUINE MBAMBARA,1,383,CLASSE CE2
MBOUR,SESSENE,TATTAGUINE SERERE,1,509,CLASSE CP
MBOUR,SESSENE,YABO YABO,1,326,CLASSE CIA
MBOUR,SESSENE,YABO YABO,2,325,CLASSE CE1
