DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,THIADIAYE,THIADIAYE,1,586,CLASSE CIA
MBOUR,THIADIAYE,THIADIAYE,2,585,CLASSE CIB
MBOUR,THIADIAYE,THIADIAYE,3,586,CLASSE CPA
MBOUR,THIADIAYE,THIADIAYE,4,586,CLASSE CM1A
MBOUR,THIADIAYE,THIADIAYE,5,582,CLASSE CM1B
MBOUR,THIADIAYE,THIADIAYE,6,584,CLASSE CM2A
MBOUR,THIADIAYE,THIADIAYE,7,585,CLASSE CE1A
MBOUR,THIADIAYE,THIADIAYE,8,586,CLASSE CE1C
MBOUR,THIADIAYE,THIADIAYE,9,584,CLASSE CPB
MBOUR,THIADIAYE,THIADIAYE,10,587,C.E.M THIADIAYE 1 CLASSE 6EME A
MBOUR,THIADIAYE,THIADIAYE,11,586,C.E.M THIADIAYE 1 CLASSE 6EME B
MBOUR,THIADIAYE,THIADIAYE,12,586,C.E.M THIADIAYE 1 CLASSE 5EME A
MBOUR,THIADIAYE,THIADIAYE,13,585,C.E.M THIADIAYE 1 CLASSE 5EME B
MBOUR,THIADIAYE,THIADIAYE,14,584,C.E.M THIADIAYE 1 CLASSE 4EME A
MBOUR,THIADIAYE,THIADIAYE,15,586,C.E.M THIADIAYE 1 CLASSE 4EME B
MBOUR,THIADIAYE,THIADIAYE,16,587,C.E.M THIADIAYE 1 CLASSE 3EME A
MBOUR,THIADIAYE,THIADIAYE,17,583,C.E.M THIADIAYE 1 CLASSE 3EME B
