REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,MBOUR,DIASS,BANDIA BAMBARA,1,429,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BANDIA SESSENE,1,570,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BANDIA SESSENE,2,38,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,BOUKHOU,1,532,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,BOUKHOU,2,531,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,BOUKHOU,3,531,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DAGGA,1,447,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DAGGA,2,445,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS,1,598,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DIASS,2,599,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS,3,598,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DIASS,4,597,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,DIASS,DIASS,5,594,ECOLE ELEMENTAIRE SALLE 5
THIES,MBOUR,DIASS,DIASS,6,598,ECOLE ELEMENTAIRE SALLE 6
THIES,MBOUR,DIASS,DIASS NGAM,1,575,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,DIASS NGAM,2,569,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,DIASS NGAM,3,79,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,DOBOUR,1,294,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,ECOLE KANDAM,1,592,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,ECOLE KANDAM,2,591,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,GANDOUL,1,431,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KHOLPA,1,564,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KIRENE,1,541,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,KIRENE,2,545,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,KIRENE,3,240,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,MBAYARD,1,484,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,MBAYARD,2,167,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,PACKY,1,471,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,PACKY,2,472,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,RAFFO,1,288,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,SAMKEDJ,1,488,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,SAMKEDJ,2,489,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,THICKY,1,577,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,THICKY,2,580,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,THICKY,3,575,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,THICKY,4,517,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,DIASS,TOGLOU OUOLOF,1,385,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,TOGLOU OUOLOF,2,384,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,TOGLOU SERERE,1,553,ECOLE ELEMENTAIRE SALLE 1
THIES,MBOUR,DIASS,TOGLOU SERERE,2,552,ECOLE ELEMENTAIRE SALLE 2
THIES,MBOUR,DIASS,TOGLOU SERERE,3,553,ECOLE ELEMENTAIRE SALLE 3
THIES,MBOUR,DIASS,TOGLOU SERERE,4,554,ECOLE ELEMENTAIRE SALLE 4
THIES,MBOUR,FISSEL,BACK,1,508,CLASSE CE1
THIES,MBOUR,FISSEL,BADD,1,506,CLASSE CI
THIES,MBOUR,FISSEL,CISSIS,1,327,CLASSE CE1
THIES,MBOUR,FISSEL,CISSIS,2,326,CLASSE CM1
THIES,MBOUR,FISSEL,DIOB,1,307,CLASSE CE2
THIES,MBOUR,FISSEL,FISSEL,1,543,CLASSE CM2A
THIES,MBOUR,FISSEL,FISSEL,2,553,CLASSE CM1A
THIES,MBOUR,FISSEL,FISSEL,3,256,CLASSE CM2 B
THIES,MBOUR,FISSEL,FISSEL SERERE,1,470,CLASSE C E 2
THIES,MBOUR,FISSEL,FISSEL SERERE,2,470,CLASSE CM2
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,1,310,CLASSE CM1
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,2,309,CLASSE CE1
THIES,MBOUR,FISSEL,KHAOUL GODOGUENE,3,309,CLASSE CM2
THIES,MBOUR,FISSEL,KHAOUL TOC NGOL,1,384,ECOLE CLASSE CE2
THIES,MBOUR,FISSEL,KOBORANE,1,125,ECOLE CLASSE CM2
THIES,MBOUR,FISSEL,LAMBAYENE,1,475,CLASSE CE2
THIES,MBOUR,FISSEL,LANGHOMACK,1,421,CLASSE CM2
THIES,MBOUR,FISSEL,MBALACAM,1,321,ECOLE CLASSE CI
THIES,MBOUR,FISSEL,MBALAMSONE,1,373,CLASSE CM1A
THIES,MBOUR,FISSEL,MBALAMSONE,2,372,CLASSE CE1
THIES,MBOUR,FISSEL,MBEDAP,1,190,CLASSE CE1
THIES,MBOUR,FISSEL,MBELLANGHOUT,1,238,CLASSE CI
THIES,MBOUR,FISSEL,MBOUFOUDJI,1,382,CLASSE CE1
THIES,MBOUR,FISSEL,MBOUFOUDJI,2,383,CE2 ECOLE ELEMENTAIRE
THIES,MBOUR,FISSEL,MBOULOUCTENE SECCO,1,326,CLASSE CE2
THIES,MBOUR,FISSEL,MEDINE,1,471,CLASSE CM2
THIES,MBOUR,FISSEL,NDAGDAM,1,259,CLASSE CI
THIES,MBOUR,FISSEL,NDIASSANE,1,388,CLASSE CM2
THIES,MBOUR,FISSEL,NDIASSANE,2,388,CLASSE CE1
THIES,MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,218,ECOLE CLASSE CM1
THIES,MBOUR,FISSEL,NDOFFANE,1,339,CLASSE CM2
THIES,MBOUR,FISSEL,NDOUNGH,1,457,CLASSE CM1
THIES,MBOUR,FISSEL,NDOUNGH,2,456,CLASSE CE2
THIES,MBOUR,FISSEL,NDOYOMBOUTH,1,280,CLASSE CM1
THIES,MBOUR,FISSEL,NGHONEME,1,235,CLASSE CI
THIES,MBOUR,FISSEL,NGUERANE,1,160,ECOLE CLASSE CP
THIES,MBOUR,FISSEL,SASSAKH,1,181,ECOLE CLASSE ALPHABETISATION
THIES,MBOUR,FISSEL,SASSAL,1,217,CLASSE CM1
THIES,MBOUR,FISSEL,SOP,1,508,CLASSE CM1
THIES,MBOUR,FISSEL,SOP,2,508,CLASSE CE2
THIES,MBOUR,FISSEL,TOCOMACK,1,537,CLASSE CP
THIES,MBOUR,FISSEL,TOCOMACK,2,96,ECOLE CLASSE CM2
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,1,579,SALLE 1
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,2,577,SALLE 4
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,3,574,SALLE 6
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,4,576,SALLE 10
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,5,577,SALLE 14
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,6,577,SALLE 18
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,1,384,SALLE 1
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,2,383,SALLE 2
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,3,384,SALLE DE REUNION 1
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,4,383,SALLE DE REUNION 2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,1,396,CLASSE CIA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,2,395,CLASSE CM2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,3,395,SALLE DE LA BIBLIOTHEQUE
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,4,395,CLASSE CE2A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,1,347,CLASSE CIA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,2,346,CLASSE CIB
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,3,347,CLASSE CPA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,4,346,CLASSE CPB
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,5,345,CLASSE CE1A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,6,347,CLASSE CE1B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,1,529,LYCEE LEOPOLD S.SENGHOR SALLE 1
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,2,527,LYCEE LEOPOLD S.SENGHOR SALLE 2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,3,528,LYCEE LEOPOLD S.SENGHOR SALLE 3
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,4,530,LYCEE LEOPOLD S.SENGHOR SALLE 4
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,5,527,LYCEE LEOPOLD S.SENGHOR SALLE 9
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,6,529,LYCEE LEOPOLD S.SENGHOR SALLE 10
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,7,530,LYCEE LEOPOLD S.SENGHOR SALLE 11
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,8,528,LYCEE LEOPOLD S.SENGHOR SALLE 12
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,9,528,LYCEE LEOPOLD S.SENGHOR SALLE 17
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,10,529,LYCEE LEOPOLD S.SENGHOR SALLE 18
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,11,528,LYCEE LEOPOLD S.SENGHOR SALLE 19
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,12,527,LYCEE LEOPOLD S.SENGHOR SALLE 20
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,13,527,LYCEE LEOPOLD S.SENGHOR SALLE 21
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,14,529,LYCEE LEOPOLD S.SENGHOR SALLE 22
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,15,529,LYCEE LEOPOLD S.SENGHOR SALLE 23
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,1,317,CLASSE CI B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,2,317,CLASSE CI A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,3,315,CLASSE CP A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,4,317,CLASSE CP B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,5,316,CLASSE CE1 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,6,317,CLASSE CM2 B
