DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,DIENDER GUEDJI,BAYAKH,1,562,CLASSE CI
THIES,DIENDER GUEDJI,BAYAKH,2,562,CLASSE CP
THIES,DIENDER GUEDJI,BAYAKH,3,562,CLASSE CE1
THIES,DIENDER GUEDJI,BAYAKH,4,563,CLASSE CE2
THIES,DIENDER GUEDJI,BAYAKH,5,565,SALLE DE CLASSE
THIES,DIENDER GUEDJI,BEERTHIALANE,1,576,CLASSE CP
THIES,DIENDER GUEDJI,BEERTHIALANE,2,575,CLASSE CE1
THIES,DIENDER GUEDJI,DAROU NDIAR,1,581,SALLE DE CLASSE
THIES,DIENDER GUEDJI,DAROU NDIAR,2,97,SALLE DE CLASSE
THIES,DIENDER GUEDJI,DIENDER,1,579,CLASSE CP
THIES,DIENDER GUEDJI,DIENDER,2,571,CLASSE CE1
THIES,DIENDER GUEDJI,DIENDER,3,578,ECOLE SALLE DE CLASSE
THIES,DIENDER GUEDJI,DIENDER,4,198,ECOLE SALLE DE CLASSE
THIES,DIENDER GUEDJI,GOLLAM,1,352,CLASSE CP
THIES,DIENDER GUEDJI,GOLLAM,2,353,CLASSE CE1
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,1,575,CLASSE CP
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,2,579,CLASSE CE1
THIES,DIENDER GUEDJI,KEUR MATAR GUEYE,3,577,CLASSE CE2
THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,1,432,CLASSE CM1
THIES,DIENDER GUEDJI,MBIDIEUM LEBOU,2,433,SALLE DE CLASSE
THIES,DIENDER GUEDJI,MBISSAO,1,560,CLASSE CE1
THIES,DIENDER GUEDJI,NDAME LO,1,550,CLASSE CP
THIES,DIENDER GUEDJI,NDIAR TIDIANE,1,473,CLASSE CP
THIES,DIENDER GUEDJI,NDIAR TIDIANE,2,472,CLASSE CE1
THIES,DIENDER GUEDJI,NDIEUGUENE,1,598,CLASSE CP
THIES,DIENDER GUEDJI,SANTHIE DARA,1,373,CLASSE CM1
THIES,DIENDER GUEDJI,SANTHIE DARA,2,373,CLASSE CM2
THIES,DIENDER GUEDJI,SANTHIOU MAME GOR,1,279,ABRI PROVISOIRE
THIES,DIENDER GUEDJI,THIEUDEME,1,585,CLASSE CE1
THIES,DIENDER GUEDJI,THIEUDEME,2,590,CLASSE CI
THIES,DIENDER GUEDJI,THIEUDEME,3,63,SALLE DE CLASSE
THIES,DIENDER GUEDJI,THOR,1,580,CLASSE CP
THIES,DIENDER GUEDJI,THOR,2,583,CLASSE CE1
THIES,DIENDER GUEDJI,THOR,3,586,CLASSE CE2
THIES,DIENDER GUEDJI,THOR,4,538,SALLE DE CLASSE
