DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,FANDENE,DIAYANE NONES,1,404,CLASSE CP
THIES,FANDENE,FANDENE DIAMDIOROKH,1,435,SALLE 1 BATIMENT A
THIES,FANDENE,FANDENE NDIOUR,1,571,ABRI PROVISOIRE
THIES,FANDENE,FANDENE NDIOUR,2,52,ABRI PROVISOIRE
THIES,FANDENE,FANDENE THIATHIE,1,495,CLASSE CP
THIES,FANDENE,FANDENE THIATHIE,2,496,CLASSE CE1
THIES,FANDENE,FANDENE THIATHIE,3,495,CLASSE CE2
THIES,FANDENE,KEUR ASSANE NDIAYE,1,570,CLASSE CE1
THIES,FANDENE,KEUR ASSANE NDIAYE,2,567,CLASSE CE2
THIES,FANDENE,KEUR ASSANE NDIAYE,3,282,SALLE DE CLASSE
THIES,FANDENE,KEUR DAOUDA CISSE,1,551,CLASSE CP
THIES,FANDENE,KEUR DAOUDA CISSE,2,79,SALLE DE CLASSE
THIES,FANDENE,KEUR DEMBA NGOYE,1,466,CLASSE CP
THIES,FANDENE,KEUR DEMBA NGOYE,2,465,CLASSE CE1
THIES,FANDENE,KEUR MAME MARAME,1,578,CLASSE CP
THIES,FANDENE,KEUR MASSAMBA GUEYE 1,1,553,CLASSE CE1
THIES,FANDENE,KEUR MASSAMBA GUEYE 1,2,318,SALLE DE CLASSE
THIES,FANDENE,KEUR MOR NDIAYE,1,534,CLASSE CP
THIES,FANDENE,KEUR MOR NDIAYE,2,533,CLASSE CE1
THIES,FANDENE,KEUR THIEME SAWARE,1,568,CLASSE CP
THIES,FANDENE,KEUR THIEME SAWARE,2,328,SALLE DE CLASSE
THIES,FANDENE,KEUR THIEME SAWARE,3,328,SALLE DE CLASSE
THIES,FANDENE,LALANE,1,472,CLASSE CM1 A
THIES,FANDENE,NDIOBENE,1,565,ABRI PROVISOIRE
THIES,FANDENE,NDIOBENE,2,116,ABRI PROVISOIR
THIES,FANDENE,NDIOBENE,3,116,ABRI PROVISOIR
THIES,FANDENE,NDOUFFOUCK,1,563,ABRI PROVISOIRE
THIES,FANDENE,NDOUFFOUCK,2,561,ABRI PROVISOIRE
THIES,FANDENE,NDOUFFOUCK,3,283,ABRI PROVISOIRE
THIES,FANDENE,NGOUMSANE,1,553,CLASSE CP
THIES,FANDENE,NGOUMSANE,2,544,CLASSE CE1
THIES,FANDENE,NGOUMSANE,3,544,SALLE DE CLASSE
THIES,FANDENE,PEYCOUCK SERERE,1,424,CLASSE CP
THIES,FANDENE,PEYCOUCK SERERE,2,418,SALLE DE CLASSE
THIES,FANDENE,TOUBA PEYCOUCK,1,577,CLASSE CM1 A
THIES,FANDENE,TOUBA PEYCOUCK,2,574,CLASSE CM2 A
THIES,FANDENE,TOUBA PEYCOUCK,3,576,SALLE DE CLASSE
