DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,KAYAR,ECOLE 1,1,572,CLASSE CI
THIES,KAYAR,ECOLE 1,2,573,CLASSE CP
THIES,KAYAR,ECOLE 1,3,576,CLASSE CE1
THIES,KAYAR,ECOLE 1,4,574,CLASSE CE2
THIES,KAYAR,ECOLE 1,5,580,CLASSE CM1
THIES,KAYAR,ECOLE 1,6,573,CLASSE CM2
THIES,KAYAR,ECOLE 1,7,564,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,8,561,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,9,564,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,10,568,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,11,563,ABRI PROVISOIRE
THIES,KAYAR,ECOLE 1,12,569,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,1,579,CLASSE CP
THIES,KAYAR,ECOLE 2,2,583,CLASSE CE1
THIES,KAYAR,ECOLE 2,3,571,CLASSE CE2
THIES,KAYAR,ECOLE 2,4,576,CLASSE CM1
THIES,KAYAR,ECOLE 2,5,576,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,6,579,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,7,572,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,8,369,SALLE DE CLASSE
THIES,KAYAR,ECOLE KEUR ABDOU NDOYE,1,529,CLADDE CP
THIES,KAYAR,ECOLE KEUR ABDOU NDOYE,2,532,CLASSE CE1
THIES,KAYAR,ECOLE NDIOKHOPE GUEDJ,1,277,SALLE DE CLASSE
THIES,KAYAR,MBAOUANE,1,519,CLASSE CE2
THIES,KAYAR,MBAOUANE,2,214,SALLE DE CLASSE
