DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,KEUR MOUSSA,DARAL PEULH,1,245,CLASSE CI
THIES,KEUR MOUSSA,GAPPE,1,322,ABRI PROVISOIRE
THIES,KEUR MOUSSA,KATHIALIT,1,407,CLASSE CP
THIES,KEUR MOUSSA,KAYEL,1,487,CLASSE CI
THIES,KEUR MOUSSA,KESSOUKHAT,1,475,CLASSE CP
THIES,KEUR MOUSSA,KESSOUKHAT,2,474,CLASSE CE 1
THIES,KEUR MOUSSA,KEUR GUILAYE,1,594,CLASSE CE1
THIES,KEUR MOUSSA,KEUR MOUSSA,1,582,CLASSE CE1 A
THIES,KEUR MOUSSA,KEUR MOUSSA,2,581,CLASSE CI
THIES,KEUR MOUSSA,KEUR MOUSSA,3,581,CLASSE CP
THIES,KEUR MOUSSA,KEUR MOUSSA,4,579,CLASSE CM1 A
THIES,KEUR MOUSSA,KEUR MOUSSA,5,580,CLASSE CM2 B
THIES,KEUR MOUSSA,KEUR MOUSSA,6,576,CLASSE CM2 A
THIES,KEUR MOUSSA,KEUR MOUSSA,7,581,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR MOUSSA,8,577,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR MOUSSA,9,580,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR SEGA,1,532,CLASSE CP
THIES,KEUR MOUSSA,KEUR SEGA,2,532,CLASSE CE1
THIES,KEUR MOUSSA,KEUR YAKHAM,1,551,CLASSE CI
THIES,KEUR MOUSSA,KEUR YAKHAM,2,299,SALLE DE CLASSE
THIES,KEUR MOUSSA,KHAYE SERERE,1,503,CLASSE CP
THIES,KEUR MOUSSA,KHININE,1,541,CLASSE CE1 A
THIES,KEUR MOUSSA,KHININE,2,103,SALLE DE CLASSE
THIES,KEUR MOUSSA,KHODEBA,1,551,CLASSE CM1
THIES,KEUR MOUSSA,KHODEBA,2,550,CLASSE CM2
THIES,KEUR MOUSSA,LANDOU,1,544,CLASSE CP
THIES,KEUR MOUSSA,LANDOU,2,169,SALLE DE CLASSE
THIES,KEUR MOUSSA,LELO SERERE,1,319,CLASSE CI
THIES,KEUR MOUSSA,LELO SERERE,2,318,CLASSE CP
THIES,KEUR MOUSSA,LENE,1,271,ABRI PROVISOIRE
THIES,KEUR MOUSSA,MBIRDIAM,1,565,CLASSE CM1
THIES,KEUR MOUSSA,MBIRDIAM,2,559,CLASSE CE2
THIES,KEUR MOUSSA,MBIRDIAM,3,111,SALLE DE CLASSE
THIES,KEUR MOUSSA,MBOUL,1,465,CLASSE CI
THIES,KEUR MOUSSA,MBOUL,2,466,CLASSE CP
THIES,KEUR MOUSSA,NDEUYE,1,304,CLASSE CE1
THIES,KEUR MOUSSA,NGOMENE,1,553,ABRI PROVISOIRE
THIES,KEUR MOUSSA,NIAKHIP,1,351,CLASSE CM1
THIES,KEUR MOUSSA,PALAL,1,325,CLASSE CE1
THIES,KEUR MOUSSA,PALAL,2,325,CLASSE CP
THIES,KEUR MOUSSA,POUYENNE,1,280,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SAGNAFIL,1,460,ECOLE SAGNAFIL SALLE DE CLASSE
THIES,KEUR MOUSSA,SAGNAFIL,2,457,ECOLE SAGNAFIL SALLE DE CLASSE
THIES,KEUR MOUSSA,SAINT BENOIT,1,383,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SANTHIE SERERE,1,365,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SANTHIE SERERE,2,366,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SEUNE OUOLOF,1,409,CLASSE CI
THIES,KEUR MOUSSA,SOUNE SERERE,1,428,CLASSE CM1 A
THIES,KEUR MOUSSA,SOUNE SERERE,2,428,CLASSE CM2 A
THIES,KEUR MOUSSA,TAGO 1,1,179,ABRI PROVISOIRE
THIES,KEUR MOUSSA,THIAMBOKH,1,447,CLASSE CI
THIES,KEUR MOUSSA,TOUGOUNY,1,272,SALLE DE CLASSE
THIES,KEUR MOUSSA,TOULY,1,596,CLASSE CE1
THIES,KEUR MOUSSA,TOULY,2,598,CLASSE CM1
THIES,KEUR MOUSSA,YADE,1,429,CLASSE CE1
