DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,KHOMBOLE,ECOLE 3,1,579,CLASSE CP
THIES,KHOMBOLE,ECOLE 3,2,574,CLASSE CE1
THIES,KHOMBOLE,ECOLE 3,3,587,CLASSE CE2
THIES,KHOMBOLE,ECOLE 3,4,576,CLASSE CM1
THIES,KHOMBOLE,ECOLE 3,5,573,SALLE DE CLASSE
THIES,KHOMBOLE,ECOLE 3,6,338,CLASSE CM2 A
THIES,KHOMBOLE,ECOLE 4,1,564,CLASSE CP
THIES,KHOMBOLE,ECOLE 4,2,574,CLASSE CE1
THIES,KHOMBOLE,ECOLE 4,3,575,CLASSE CM1
THIES,KHOMBOLE,ECOLE 4,4,480,SALLE DE CLASSE
THIES,KHOMBOLE,ECOLE 4,5,488,SALLE DE CLASSE
THIES,KHOMBOLE,ECOLE 4,6,455,SALLE DE CLASSE
THIES,KHOMBOLE,ECOLE PRIMAIRE,1,435,CLASSE CP
THIES,KHOMBOLE,ECOLE PRIMAIRE,2,432,CLASSE CE1
THIES,KHOMBOLE,ECOLE PRIMAIRE,3,432,CLASSE CM1
THIES,KHOMBOLE,ECOLE PRIMAIRE 2,1,567,CLASSE CE1
THIES,KHOMBOLE,ECOLE PRIMAIRE 2,2,397,SALLE DE CLASSE
THIES,KHOMBOLE,LYCEE COUMBA NDIACK,1,581,SALLE 1
THIES,KHOMBOLE,LYCEE COUMBA NDIACK,2,579,SALLE 2
THIES,KHOMBOLE,LYCEE COUMBA NDIACK,3,578,SALLE 3
THIES,KHOMBOLE,LYCEE COUMBA NDIACK,4,580,SALLE 4
THIES,KHOMBOLE,LYCEE COUMBA NDIACK,5,580,SALLE 5
