DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NDIEYENE SIRAKH,DIOKOUL BANEKH,1,258,CLASSE CI
THIES,NDIEYENE SIRAKH,DIOKOUL DIALIGUE,1,485,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,DIOKOUL NDIONGUENE,1,248,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,DIOL NDIAYE,1,315,CLASSE CI
THIES,NDIEYENE SIRAKH,GOUYE KOULY,1,516,CLASSE CI
THIES,NDIEYENE SIRAKH,KABA,1,510,CLASSE CI
THIES,NDIEYENE SIRAKH,KABA,2,514,CLASSE C E 1
THIES,NDIEYENE SIRAKH,KABA,3,430,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,MBARDIACK,1,392,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,MBEOUANE,1,586,CLASSE CI
THIES,NDIEYENE SIRAKH,MBEOUANE BAFAYE,1,296,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBEOUANE THIATHIAO,1,555,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBEOUANE THIATHIAO,2,119,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBOULOUCTENE,1,431,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIARGA,1,214,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,NDIE NGOM,1,423,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIE NGOM,2,424,CLASSE CE1
THIES,NDIEYENE SIRAKH,NDIEYENE BACKO,1,187,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,1,591,CLASSE CP
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,2,591,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,3,592,CLASSE CE 1
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,4,592,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,NDIMB DIOL,1,207,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,NDINGLER BALL,1,571,CLASSE CI 1
THIES,NDIEYENE SIRAKH,NDINGLER BALL,2,571,CLASSE CP
THIES,NDIEYENE SIRAKH,NDINGLER BALL,3,573,CLASSE CI
THIES,NDIEYENE SIRAKH,NDOUPH,1,514,CLASSE CI
THIES,NDIEYENE SIRAKH,NDOUPH,2,517,CLASSE CE1
THIES,NDIEYENE SIRAKH,NGOGOM,1,359,CLASSE CI
THIES,NDIEYENE SIRAKH,NGUIDIANE KHALY,1,310,CASE DE SANTE
THIES,NDIEYENE SIRAKH,THIANDIGUE,1,467,ABRI PROVISOIRE
