DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NGOUNDIANE,DIACK MBAYENE,1,523,CLASSE CI
THIES,NGOUNDIANE,DIACK MBAYENE,2,294,SALLE DE CLASSE
THIES,NGOUNDIANE,DIACK MBODOKHANE,1,566,CLASSE CI
THIES,NGOUNDIANE,DIACK MBODOKHANE,2,556,CLASSE C E 1
THIES,NGOUNDIANE,DIACK MBODOKHANE,3,567,CLASSE CI 2
THIES,NGOUNDIANE,DIACK MBODOKHANE,4,551,SALLE DE CLASSE
THIES,NGOUNDIANE,DIACK NIONIOL,1,343,SALLE DE CLASSE
THIES,NGOUNDIANE,KAM DIACK,1,498,SALLE DE CLASSE
THIES,NGOUNDIANE,KAM DIACK,2,499,SALLE DE CLASSE
THIES,NGOUNDIANE,KEUR IBRA KANE,1,202,CLASSE CI
THIES,NGOUNDIANE,KHOURWA,1,282,CLASSE CP
THIES,NGOUNDIANE,MBROUVAILLE,1,584,CLASSE CI
THIES,NGOUNDIANE,MBROUVAILLE,2,578,CLASSE C E 1
THIES,NGOUNDIANE,MBROUVAILLE,3,580,CLASSE CE 2
THIES,NGOUNDIANE,MBROUVAILLE,4,239,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,1,583,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,2,586,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,3,76,CLASSE CE2
THIES,NGOUNDIANE,NGOUDIANE SAMEL,1,439,CLASSE CI
THIES,NGOUNDIANE,NGOUDIANE SAMEL,2,440,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUNDIANE NIAKH,1,274,CLASSE CI
THIES,NGOUNDIANE,NGOUNDIANE PEYE,1,568,CLASSE CI
THIES,NGOUNDIANE,NGOUNDIANE PEYE,2,564,CLASSE CP
THIES,NGOUNDIANE,NGOUNDIANE PEYE,3,560,CLASSE CE 1
THIES,NGOUNDIANE,NGOUNDIANE PEYE,4,147,CLASSE CM1
THIES,NGOUNDIANE,SEO KHAYE,1,519,CLASSE CI
THIES,NGOUNDIANE,SEO KHAYE,2,536,CLASSE CP
THIES,NGOUNDIANE,SEO KHAYE,3,417,SALLE DE CLASSE
THIES,NGOUNDIANE,THIANGAYE,1,573,CLASSE CI
THIES,NGOUNDIANE,THIANGAYE,2,580,CLASSE CE 1
THIES,NGOUNDIANE,THIANGAYE,3,573,CLASSE CE 2
THIES,NGOUNDIANE,THIANGAYE,4,292,SALLE DE CLASSE
